RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Shaquille O'Neal,LAL,27,49,31,18,1702.9,1289,510,885,57.6,0,1,0.0,269,498,54.0,187,338,525,114,122,36,82,155,2322,30,0,225
2,Allen Iverson,PHI,24,48,28,20,1991.2,1284,435,1056,41.2,58,199,29.1,356,474,75.1,66,170,236,223,167,110,7,98,2086,4,0,187
3,Karl Malone,UTA,35,49,36,13,1831.6,1164,393,797,49.3,0,1,0.0,378,480,78.8,107,356,463,201,162,62,28,134,2129,21,1,354
4,Shareef Abdur-Rahim,VAN,22,50,8,42,2019.8,1152,386,893,43.2,11,36,30.6,369,439,84.1,114,260,374,172,186,69,55,137,2045,11,0,-361
5,Gary Payton,SEA,30,50,25,25,2009.8,1084,401,923,43.4,83,281,29.5,199,276,72.1,62,182,244,436,154,109,12,115,2240,19,1,29
6,Tim Duncan,SAS,23,50,37,13,1963.3,1084,418,845,49.5,1,7,14.3,247,358,69.0,159,412,571,121,146,45,126,147,2318,37,0,371
7,Antonio McDyess,DEN,24,50,14,36,1937.4,1061,415,882,47.1,1,9,11.1,230,338,68.0,168,369,537,82,138,73,115,175,2254,28,0,-252
8,Grant Hill,DET,26,50,29,21,1849.6,1053,384,802,47.9,0,14,0.0,285,379,75.2,65,290,355,300,184,80,27,114,2066,10,1,192
9,Stephon Marbury,NJN,22,49,25,24,1893.8,1044,378,883,42.8,66,197,33.5,222,278,79.9,37,105,142,437,164,59,8,125,1907,18,0,88
10,Michael Finley,DAL,26,50,19,31,2055.2,1009,389,876,44.4,45,136,33.1,186,226,82.3,69,194,263,218,107,66,15,96,1788,6,0,-62
11,Kobe Bryant,LAL,20,50,31,19,1894.3,996,362,779,46.5,27,101,26.7,245,292,83.9,53,211,264,190,157,72,50,153,1807,9,0,92
12,Mitch Richmond,WAS,33,50,18,32,1912.4,983,331,803,41.2,70,221,31.7,251,293,85.7,30,142,172,122,136,64,10,121,1458,1,0,-101
13,Kevin Garnett,MIN,23,47,24,23,1779.0,977,414,900,46.0,4,14,28.6,145,206,70.4,166,323,489,202,135,78,83,152,2215,25,0,76
14,Hakeem Olajuwon,HOU,36,50,31,19,1784.4,945,373,725,51.4,4,13,30.8,195,272,71.7,106,372,478,88,139,82,123,160,2127,25,0,62
15,Alonzo Mourning,MIA,29,46,32,14,1755.4,924,324,633,51.2,0,2,0.0,276,423,65.2,166,341,507,74,139,34,180,161,2146,29,0,340
16,Reggie Miller,IND,33,50,33,17,1788.1,920,294,671,43.8,106,275,38.5,226,247,91.5,25,110,135,112,76,37,9,101,1312,1,0,188
17,Keith Van Horn,NJN,23,42,14,28,1575.1,916,322,752,42.8,16,53,30.2,256,298,85.9,114,244,358,65,133,43,53,134,1598,13,0,-114
18,Vince Carter,TOR,22,50,23,27,1760.9,913,345,766,45.0,19,66,28.8,204,268,76.1,94,189,283,149,110,55,77,139,1762,6,0,45
19,Glenn Robinson,MIL,26,47,26,21,1576.8,865,347,756,45.9,31,79,39.2,140,161,87.0,73,203,276,100,106,46,41,114,1501,3,0,148
20,Shawn Kemp,CLE,29,42,21,21,1471.2,862,277,575,48.2,1,2,50.0,307,389,78.9,131,257,388,101,127,48,45,159,1631,20,0,25
21,Ray Allen,MIL,23,50,28,22,1718.8,856,303,673,45.0,74,208,35.6,176,195,90.3,57,155,212,178,122,53,7,117,1435,1,0,120
22,Jason Kidd,PHX,26,50,27,23,2063.3,846,310,698,44.4,45,123,36.6,181,239,75.7,87,252,339,539,150,114,19,108,2310,30,7,214
23,Chris Webber,SAC,26,42,22,20,1721.7,839,378,778,48.6,4,34,11.8,79,174,45.4,149,396,545,173,148,60,89,144,2052,36,1,37
24,Tim Hardaway,MIA,32,48,32,16,1768.1,835,301,752,40.0,112,311,36.0,121,149,81.2,15,137,152,352,131,57,6,102,1603,5,0,235
25,Toni Kukoc,CHI,30,44,13,31,1656.3,828,315,749,42.1,39,136,28.7,159,215,74.0,65,245,310,235,121,49,11,82,1612,12,0,-160
26,Nick Van Exel,DEN,27,50,14,36,1801.7,826,306,769,39.8,72,234,30.8,142,175,81.1,14,99,113,368,121,40,3,90,1522,10,0,-306
27,Clifford Robinson,PHX,32,50,27,23,1740.7,819,299,629,47.5,58,139,41.7,163,234,69.7,68,158,226,128,88,75,59,152,1596,1,0,166
28,Allan Houston,NYK,28,50,27,23,1814.4,813,294,703,41.8,57,140,40.7,168,195,86.2,20,132,152,137,130,35,9,115,1203,0,0,58
29,Anfernee Hardaway,ORL,27,50,33,17,1946.4,791,301,717,42.0,40,140,28.6,149,211,70.6,74,210,284,266,150,111,23,111,1783,9,0,128
30,Paul Pierce,BOS,21,48,19,29,1630.4,791,284,647,43.9,84,204,41.2,139,195,71.3,117,192,309,115,113,82,50,139,1617,3,0,-65
31,Antoine Walker,BOS,22,42,16,26,1550.4,784,303,735,41.2,65,176,36.9,113,202,55.9,106,253,359,130,119,63,28,142,1564,14,0,-199
32,Eddie Jones,CHH,27,50,33,17,1878.9,780,260,595,43.7,48,142,33.8,212,271,78.2,50,144,194,186,93,125,58,128,1748,0,0,198
33,David Robinson,SAS,33,49,36,13,1552.8,775,268,527,50.9,0,1,0.0,239,363,65.8,148,344,492,103,108,69,119,143,1976,23,0,331
34,Maurice Taylor,LAC,22,46,9,37,1505.6,773,311,675,46.1,1,6,16.7,150,206,72.8,100,142,242,67,120,16,29,179,1179,5,0,-322
35,Doug Christie,TOR,29,50,23,27,1767.8,760,252,650,38.8,49,161,30.4,207,246,84.1,59,148,207,187,119,113,26,111,1587,1,0,-111
36,Detlef Schrempf,SEA,36,50,25,25,1764.6,752,259,549,47.2,34,86,39.5,200,243,82.3,77,293,370,184,103,41,26,152,1570,14,0,87
37,Tom Gugliotta,PHX,29,43,23,20,1562.0,729,277,573,48.3,2,7,28.6,173,218,79.4,131,250,381,121,88,59,21,111,1520,14,0,96
