RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Trae Young,ATL,23,76,40,36,2651.9,2155,711,1544,46.0,233,610,38.2,500,553,90.4,50,234,284,737,303,72,7,128,3535,42,0,159
2,DeMar DeRozan,CHI,32,76,43,33,2742.9,2118,774,1535,50.4,50,142,35.2,520,593,87.7,56,336,392,374,181,68,24,178,3244,6,0,77
3,Joel Embiid,PHI,28,68,45,23,2296.4,2079,666,1334,49.9,93,251,37.1,654,803,81.4,146,650,796,284,214,77,99,181,3774,46,2,368
4,Jayson Tatum,BOS,24,76,49,27,2731.0,2046,708,1564,45.3,230,651,35.3,400,469,85.3,85,524,609,334,217,75,49,174,3433,22,0,667
5,Nikola Jokic,DEN,27,74,46,28,2475.6,2004,764,1311,58.3,97,288,33.7,379,468,81.0,206,813,1019,584,281,109,63,191,4338,66,19,444
6,Giannis Antetokounmpo,MIL,27,67,45,22,2204.2,2002,689,1245,55.3,71,242,29.3,553,766,72.2,134,644,778,388,219,72,91,212,3788,46,4,397
7,Luka Doncic,DAL,23,65,44,21,2300.7,1847,641,1403,45.7,201,569,35.3,364,489,74.4,56,537,593,568,292,75,36,145,3452,44,10,146
8,Devin Booker,PHX,25,68,56,12,2344.6,1822,662,1421,46.6,183,478,38.3,315,363,86.8,45,297,342,329,162,77,26,180,2873,5,0,469
9,Karl-Anthony Towns,MIN,26,74,44,30,2475.5,1818,642,1214,52.9,150,366,41.0,384,467,82.2,194,533,727,269,226,72,83,267,3333,40,1,275
10,Donovan Mitchell,UTA,25,67,41,26,2265.6,1733,617,1376,44.8,232,654,35.5,267,313,85.3,55,227,282,358,200,99,12,164,2741,3,0,276
11,LeBron James,LAL,37,56,25,31,2084.3,1695,640,1221,52.4,161,448,35.9,254,336,75.6,63,396,459,349,196,73,59,121,2969,21,6,-117
12,Kevin Durant,BKN,33,55,36,19,2047.4,1643,578,1115,51.8,115,300,38.3,372,409,91.0,29,378,407,351,191,48,52,113,2767,18,4,269
13,Zach LaVine,CHI,27,67,37,30,2328.1,1635,565,1186,47.6,185,475,38.9,320,375,85.3,22,286,308,303,171,41,23,120,2480,0,0,-26
