RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Allen Iverson,PHI,30,75,41,34,3176.1,2302,771,1818,42.4,104,338,30.8,656,786,83.5,51,248,299,596,344,180,9,140,3778,24,0,12
2,LeBron James,CLE,20,80,41,39,3384.0,2175,795,1684,47.2,108,308,35.1,477,636,75.0,111,477,588,577,262,177,52,146,4171,25,4,151
3,Amar'e Stoudemire,PHX,22,80,60,20,2884.8,2080,747,1336,55.9,3,16,18.8,583,795,73.3,219,494,713,131,189,77,130,278,3564,27,0,606
4,Gilbert Arenas,WAS,23,80,44,36,3278.9,2038,656,1523,43.1,205,562,36.5,521,640,81.4,83,295,378,411,242,139,23,245,3352,2,0,97
5,Dirk Nowitzki,DAL,27,78,56,22,3028.2,2032,663,1445,45.9,91,228,39.9,615,708,86.9,96,661,757,240,176,97,119,219,3772,37,0,585
6,Tracy McGrady,HOU,26,78,49,29,3191.0,2003,715,1660,43.1,142,435,32.6,431,557,77.4,71,413,484,448,201,135,52,167,3616,13,0,292
7,Vince Carter,NJN,28,77,40,37,2838.2,1886,696,1541,45.2,127,313,40.6,367,460,79.8,106,295,401,327,168,109,48,243,3161,7,0,41
8,Ray Allen,SEA,29,78,50,28,3068.5,1867,640,1494,42.8,209,556,37.6,378,428,88.3,79,268,347,289,171,84,5,167,2813,1,0,275
9,Dwyane Wade,MIA,23,77,56,21,2977.6,1854,630,1318,47.8,13,45,28.9,581,762,76.2,110,287,397,520,321,121,82,230,3398,16,1,397
10,Kobe Bryant,LAL,26,66,28,38,2689.5,1819,573,1324,43.3,131,387,33.9,542,664,81.6,95,297,392,398,270,86,53,174,3033,18,5,-116
11,Kevin Garnett,MIN,29,82,44,38,3120.8,1817,683,1360,50.2,6,25,24.0,445,549,81.1,247,861,1108,466,222,121,112,207,4323,69,1,142
12,Stephon Marbury,NYK,28,82,33,49,3294.5,1781,604,1308,46.2,115,325,35.4,458,549,83.4,50,198,248,668,233,122,6,186,3232,24,0,-27
13,Paul Pierce,BOS,27,82,45,37,2963.3,1769,556,1223,45.5,108,292,37.0,549,668,82.2,78,461,539,348,230,133,39,255,3224,17,2,182
14,Michael Redd,MIL,25,75,28,47,2852.2,1723,625,1418,44.1,104,293,35.5,369,432,85.4,72,240,312,172,133,63,8,152,2435,1,0,-192
15,Shaquille O'Neal,MIA,33,73,53,20,2497.4,1669,658,1095,60.1,0,0,0.0,353,765,46.1,253,507,760,200,203,36,171,262,3299,43,0,472
16,Steve Francis,ORL,28,78,35,43,2974.9,1663,563,1330,42.3,38,127,29.9,499,606,82.3,126,324,450,547,317,112,28,273,3127,21,0,-52
17,Elton Brand,LAC,26,81,37,44,3004.7,1622,629,1251,50.3,0,3,0.0,364,484,75.2,296,474,770,208,183,62,169,240,3368,41,0,182
