RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
162,Travis Best,CHI,29,74,30,44,1750.1,581,228,518,44.0,21,59,35.6,104,116,89.7,20,131,151,324,99,89,7,173,1437,0,0,-132
163,Al Harrington,IND,22,44,22,22,1309.4,576,230,484,47.5,1,3,33.3,115,144,79.9,96,180,276,54,78,41,21,166,1096,5,0,-52
164,Chris Mihm,CLE,22,74,26,48,1657.6,569,221,526,42.0,3,7,42.9,124,179,69.3,133,259,392,24,97,18,89,260,1299,5,0,-255
165,Tyronn Lue,WAS,25,71,33,38,1462.1,555,222,520,42.7,63,141,44.7,48,63,76.2,14,108,122,246,96,49,0,120,1121,0,0,-24
166,Erick Dampier,GSW,26,73,19,54,1736.7,554,209,480,43.5,0,0,0.0,136,211,64.5,167,220,387,87,156,17,167,235,1545,5,0,-223
167,Popeye Jones,WAS,32,79,37,42,1918.3,554,222,508,43.7,4,11,36.4,106,130,81.5,233,345,578,127,88,50,19,209,1557,11,0,58
168,Robert Horry,LAL,31,81,58,23,2142.7,550,183,460,39.8,76,203,37.4,108,138,78.3,130,349,479,232,88,77,89,208,1883,5,0,361
169,Courtney Alexander,WAS,25,56,23,33,1323.1,549,223,474,47.0,5,18,27.8,98,121,81.0,43,105,148,86,60,35,7,113,922,0,0,-168
170,Jacque Vaughn,ATL,27,82,33,49,1855.5,540,206,438,47.0,24,54,44.4,104,126,82.5,18,150,168,349,111,64,2,183,1352,1,0,-261
171,Avery Johnson,DAL,37,68,27,41,1353.5,535,207,432,47.9,0,5,0.0,121,163,74.2,14,55,69,286,76,40,9,86,1118,6,0,-157
172,Jerome Williams,TOR,29,68,37,31,1636.3,518,190,388,49.0,0,0,0.0,138,204,67.6,165,221,386,75,68,78,25,153,1335,6,0,82
173,Austin Croshere,IND,27,76,39,37,1282.7,516,185,448,41.3,49,145,33.8,97,114,85.1,74,220,294,77,67,26,29,106,1082,4,0,58
174,Lorenzen Wright,MEM,26,43,10,33,1250.8,516,223,486,45.9,0,2,0.0,70,123,56.9,130,275,405,44,72,30,23,126,1155,15,0,-145
175,Eddie House,MIA,24,64,23,41,1230.4,514,209,524,39.9,54,157,34.4,42,49,85.7,17,93,110,123,80,43,5,98,895,0,0,-53
176,Zeljko Rebraca,DET,30,74,46,28,1178.5,513,189,374,50.5,0,0,0.0,135,175,77.1,84,206,290,38,84,28,73,192,1137,1,0,62
177,Gilbert Arenas,GSW,20,47,10,37,1152.1,511,174,384,45.3,39,113,34.5,124,160,77.5,41,91,132,174,97,69,11,115,1073,1,0,-133
178,Tony Battie,BOS,26,74,42,32,1820.5,510,211,390,54.1,0,2,0.0,88,130,67.7,184,297,481,35,51,60,67,219,1470,3,0,121
179,Scot Pollard,SAC,27,80,59,21,1881.8,509,197,358,55.0,0,0,0.0,115,166,69.3,188,377,565,53,68,70,76,202,1637,7,0,302
180,Scott Padgett,UTA,26,75,40,35,1291.9,500,188,395,47.6,49,113,43.4,75,102,73.5,111,174,285,82,69,43,13,140,1064,2,0,66
181,Calbert Cheaney,DEN,30,68,20,48,1637.4,494,224,466,48.1,0,4,0.0,46,67,68.7,57,183,240,110,70,34,21,156,1042,1,0,-329
182,Clar. Weatherspoon,NYK,31,56,21,35,1725.9,494,189,452,41.8,0,0,0.0,116,146,79.5,149,311,460,60,47,37,48,132,1344,12,0,-187
183,Kelvin Cato,HOU,27,75,26,49,1918.6,493,190,326,58.3,0,1,0.0,113,194,58.2,176,349,525,29,53,40,95,208,1519,11,0,-151
184,Dion Glover,ATL,23,55,20,35,1156.2,492,192,456,42.1,30,91,33.0,78,103,75.7,36,133,169,84,76,45,14,89,922,1,0,-255
