RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kobe Bryant,LAL,28,77,39,38,3139.7,2430,813,1757,46.3,137,398,34.4,667,768,86.8,75,364,439,413,255,111,36,205,3762,10,0,102
2,LeBron James,CLE,22,78,47,31,3190.3,2132,772,1621,47.6,99,310,31.9,489,701,69.8,83,443,526,470,250,125,55,171,3758,16,1,378
3,Gilbert Arenas,WAS,25,74,39,35,2941.7,2105,647,1548,41.8,205,584,35.1,606,718,84.4,61,277,338,443,236,139,13,249,3395,10,0,192
4,Vince Carter,NJN,30,82,41,41,3126.0,2070,726,1598,45.4,156,437,35.7,462,576,80.2,114,378,492,393,217,82,30,266,3369,13,2,54
5,Dirk Nowitzki,DAL,29,78,64,14,2820.3,1916,673,1341,50.2,72,173,41.6,498,551,90.4,122,571,693,263,167,52,62,171,3317,41,0,626
6,Carmelo Anthony,DEN,23,65,37,28,2485.5,1881,691,1453,47.6,40,149,26.8,459,568,80.8,143,248,391,249,234,77,23,203,2790,4,1,88
7,Ben Gordon,CHI,24,82,49,33,2703.8,1753,609,1338,45.5,155,375,41.3,380,440,86.4,35,223,258,296,249,64,17,252,2501,0,0,352
8,Tracy McGrady,HOU,28,71,50,21,2539.0,1747,638,1480,43.1,126,381,33.1,345,488,70.7,56,322,378,458,213,92,36,136,3059,15,0,404
9,Allen Iverson,DEN,32,65,31,34,2761.3,1709,581,1313,44.2,62,197,31.5,485,610,79.5,23,170,193,468,268,123,13,95,2783,17,0,-11
10,Kevin Garnett,MIN,31,76,32,44,2995.1,1704,638,1341,47.6,12,56,21.4,416,498,83.5,183,792,975,313,205,89,126,184,3784,66,3,10
11,Amar'e Stoudemire,PHX,24,82,61,21,2689.0,1671,607,1055,57.5,0,3,0.0,457,585,78.1,222,564,786,84,232,78,110,295,3072,46,0,447
12,Elton Brand,LAC,28,80,40,40,3077.4,1642,645,1211,53.3,1,1,100,351,461,76.1,268,476,744,235,202,77,179,238,3453,38,0,26
13,Kevin Martin,SAC,24,80,32,48,2818.3,1618,505,1067,47.3,127,333,38.1,481,570,84.4,69,273,342,173,135,98,11,181,2480,2,0,-165
14,Zach Randolph,POR,25,68,25,43,2424.9,1608,600,1286,46.7,14,48,29.2,394,481,81.9,199,489,688,147,215,53,15,184,2643,36,0,-132
15,Tim Duncan,SAS,31,80,58,22,2725.9,1599,618,1131,54.6,1,9,11.1,362,568,63.7,213,633,846,273,224,66,190,203,3568,45,0,748
16,Eddy Curry,NYK,24,81,32,49,2848.6,1576,585,1016,57.6,1,1,100,405,659,61.5,195,376,571,68,295,34,40,265,2290,18,0,-199
17,Chris Bosh,TOR,23,69,41,28,2657.7,1561,543,1094,49.6,12,35,34.3,463,590,78.5,186,555,741,175,179,39,90,163,2921,42,0,187
18,Carlos Boozer,UTA,25,74,45,29,2556.7,1549,647,1154,56.1,0,0,0.0,255,372,68.5,235,632,867,221,194,70,21,217,3000,53,0,163
19,Luol Deng,CHI,22,82,49,33,3071.4,1540,630,1218,51.7,1,7,14.3,279,359,77.7,148,431,579,204,153,97,48,167,2823,17,0,417
20,Richard Hamilton,DET,29,75,48,27,2763.4,1485,547,1170,46.8,44,129,34.1,347,403,86.1,75,207,282,285,159,59,15,232,2314,2,0,352
21,Ray Allen,SEA,31,55,22,33,2219.0,1454,505,1153,43.8,165,443,37.2,279,309,90.3,57,190,247,228,154,82,11,113,2217,4,0,-51
22,Leandro Barbosa,PHX,24,80,59,21,2613.4,1444,529,1111,47.6,190,438,43.4,196,232,84.5,22,192,214,317,146,96,15,210,2363,5,0,462
23,Dwight Howard,ORL,21,82,40,42,3023.4,1443,526,873,60.3,1,2,50.0,390,666,58.6,283,725,1008,158,317,70,156,245,3251,60,0,96
24,Tony Parker,SAS,25,77,55,22,2498.9,1429,570,1096,52.0,15,38,39.5,274,350,78.3,34,216,250,420,191,82,6,137,2432,5,0,513
