RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Russell Westbrook,OKC,28,81,46,35,2801.7,2558,824,1941,42.5,200,583,34.3,710,840,84.5,137,727,864,840,438,132,31,190,4906,62,42,249
2,James Harden,HOU,27,81,54,27,2946.7,2356,674,1533,44.0,262,756,34.7,746,881,84.7,95,564,659,907,464,121,38,215,4520,64,22,424
3,Isaiah Thomas,BOS,28,76,51,25,2569.5,2199,682,1473,46.3,245,646,37.9,590,649,90.9,42,162,204,448,210,70,13,167,3155,5,0,275
4,Anthony Davis,NOP,24,75,31,44,2707.7,2099,770,1526,50.5,40,134,29.9,519,647,80.2,172,712,884,157,181,94,167,168,3997,49,0,51
5,Karl-Anthony Towns,MIN,21,82,31,51,3030.3,2061,802,1480,54.2,101,275,36.7,356,428,83.2,296,711,1007,220,212,56,103,241,3864,62,1,-26
6,Damian Lillard,POR,26,75,38,37,2693.1,2024,661,1488,44.4,214,579,37.0,488,545,89.5,46,322,368,440,197,68,20,152,3193,11,0,80
7,DeMar DeRozan,TOR,27,74,47,27,2620.2,2020,721,1545,46.7,33,124,26.6,545,647,84.2,70,316,386,290,180,78,13,134,3011,5,0,147
8,Stephen Curry,GSW,29,79,65,14,2638.6,1999,675,1443,46.8,324,789,41.1,325,362,89.8,61,292,353,524,239,142,17,183,3447,9,0,1015
9,LeBron James,CLE,32,74,51,23,2794.6,1954,736,1344,54.8,124,342,36.3,358,531,67.4,97,542,639,646,303,92,44,134,3795,42,13,483
10,DeMarcus Cousins,NOP,26,72,30,42,2465.4,1942,647,1432,45.2,131,363,36.1,517,670,77.2,152,642,794,332,269,100,93,278,3703,46,2,-25
11,Andrew Wiggins,MIN,22,82,31,51,3048.4,1933,709,1570,45.2,103,289,35.6,412,542,76.0,102,226,328,189,187,82,30,183,2759,1,0,-17
12,Kawhi Leonard,SAS,26,74,54,20,2474.5,1888,636,1312,48.5,147,387,38.0,469,533,88.0,80,350,430,260,154,133,55,122,3204,9,0,434
13,CJ McCollum,POR,25,80,40,40,2795.6,1837,692,1441,48.0,185,439,42.1,268,294,91.2,60,229,289,285,172,72,42,202,2781,1,0,61
14,Giannis Antetokounmpo,MIL,22,80,42,38,2845.0,1832,656,1259,52.1,49,180,27.2,471,612,77.0,142,558,700,434,234,131,151,246,3935,32,3,46
15,Kemba Walker,CHA,27,79,36,43,2739.3,1830,643,1449,44.4,240,602,39.9,304,359,84.7,45,263,308,434,168,85,22,119,3004,8,0,189
16,Jimmy Butler,CHI,27,76,40,36,2809.0,1816,570,1252,45.5,91,248,36.7,585,676,86.5,129,341,470,417,159,143,32,112,3372,15,2,205
17,Kyrie Irving,CLE,25,72,47,25,2524.6,1816,671,1420,47.3,177,441,40.1,297,328,90.5,52,178,230,418,180,83,24,157,2860,8,0,334
18,John Wall,WAS,26,78,48,30,2835.5,1805,647,1435,45.1,89,272,32.7,422,527,80.1,59,267,326,831,322,157,49,151,3739,50,0,248
19,Bradley Beal,WAS,24,77,48,29,2684.0,1779,637,1322,48.2,223,552,40.4,282,342,82.5,53,187,240,267,156,83,21,169,2624,1,0,334
20,Paul George,IND,27,75,39,36,2689.3,1775,622,1348,46.1,195,496,39.3,336,374,89.8,58,434,492,251,220,119,27,206,2960,11,0,167
21,Klay Thompson,GSW,27,78,66,12,2649.0,1742,644,1376,46.8,268,647,41.4,186,218,85.3,49,236,285,160,128,66,40,139,2514,0,0,800
22,Devin Booker,PHX,20,78,24,54,2730.6,1726,606,1431,42.3,147,405,36.3,367,441,83.2,46,203,249,268,241,72,21,242,2465,0,0,-225
23,Carmelo Anthony,NYK,33,74,29,45,2538.1,1659,602,1389,43.3,151,421,35.9,304,365,83.3,62,376,438,213,153,60,34,198,2633,7,0,-233
24,Gordon Hayward,UTA,27,73,46,27,2515.5,1601,545,1156,47.1,149,374,39.8,362,429,84.4,49,345,394,252,140,73,20,117,2591,2,0,347
25,Kevin Durant,GSW,28,62,51,11,2070.4,1555,551,1026,53.7,117,312,37.5,336,384,87.5,39,474,513,300,138,66,99,117,2978,23,1,711
26,Brook Lopez,BKN,29,75,20,55,2222.0,1539,555,1172,47.4,134,387,34.6,295,364,81.0,121,282,403,176,184,38,124,192,2589,2,0,-156
27,Harrison Barnes,DAL,25,79,32,47,2803.5,1518,599,1280,46.8,78,222,35.1,242,281,86.1,93,301,394,116,102,65,15,128,2303,1,0,-135
28,Goran Dragic,MIA,31,73,40,33,2459.4,1483,534,1124,47.5,117,289,40.5,298,377,79.0,62,217,279,423,212,89,13,199,2546,6,0,66
29,Marc Gasol,MEM,32,74,40,34,2531.0,1446,532,1160,45.9,104,268,38.8,278,332,83.7,60,404,464,338,166,67,99,171,2842,11,2,64
30,Lou Williams,HOU,30,81,34,47,1993.4,1421,428,998,42.9,163,446,36.5,402,457,88.0,26,176,202,239,160,80,20,92,2162,0,0,48
31,Mike Conley,MEM,29,69,35,34,2291.9,1415,464,1009,46.0,171,419,40.8,316,368,85.9,31,210,241,433,156,92,19,126,2531,8,0,188
32,Dennis Schroder,ATL,23,79,42,37,2484.8,1414,548,1214,45.1,100,294,34.0,218,255,85.5,42,206,248,499,258,74,16,149,2472,10,0,-76
33,Eric Bledsoe,PHX,27,66,22,44,2176.2,1390,449,1034,43.4,104,310,33.5,388,458,84.7,52,268,320,418,224,91,31,164,2543,7,1,-183
34,Kyle Lowry,TOR,31,60,36,24,2244.0,1344,426,918,46.4,193,468,41.2,299,365,81.9,48,238,286,417,173,88,19,170,2461,11,1,356
35,Tobias Harris,DET,24,82,37,45,2566.4,1321,511,1063,48.1,109,314,34.7,190,226,84.1,63,353,416,142,96,60,39,133,2234,3,0,1
36,Blake Griffin,LAC,28,61,40,21,2076.2,1316,479,971,49.3,38,113,33.6,320,421,76.0,112,385,497,300,142,57,22,157,2457,19,1,442
37,Hassan Whiteside,MIA,28,77,39,38,2513.4,1309,542,973,55.7,0,0,0.0,225,358,62.8,293,795,1088,57,154,57,161,226,3200,58,0,97
38,Jeff Teague,IND,29,82,42,40,2657.0,1254,402,909,44.2,90,252,35.7,360,415,86.7,33,297,330,639,216,100,32,165,2789,16,0,49
39,Paul Millsap,ATL,32,69,40,29,2342.8,1246,430,972,44.2,75,241,31.1,311,405,76.8,111,422,533,252,158,90,62,186,2562,19,0,135
40,LaMarcus Aldridge,SAS,31,72,52,20,2335.0,1243,500,1049,47.7,23,56,41.1,220,271,81.2,172,351,523,139,98,46,88,158,2383,18,0,272
41,Nikola Jokic,DEN,22,73,37,36,2037.7,1221,494,854,57.8,45,139,32.4,188,228,82.5,212,506,718,359,171,61,55,214,2798,39,6,299
42,Eric Gordon,HOU,28,75,50,25,2323.5,1217,412,1016,40.6,246,661,37.2,147,175,84.0,29,172,201,188,121,48,41,150,1886,0,0,295
43,Jordan Clarkson,LAL,25,82,26,56,2396.6,1205,477,1071,44.5,117,356,32.9,134,168,79.8,49,197,246,213,164,88,8,150,1944,0,0,-422
44,Kristaps Porzingis,NYK,21,66,26,40,2164.4,1196,443,985,45.0,112,314,35.7,198,252,78.6,111,364,475,97,118,47,129,244,2322,12,0,-101
45,JJ Redick,LAC,33,78,50,28,2198.1,1173,396,890,44.5,201,468,42.9,180,202,89.1,11,160,171,110,98,54,13,125,1646,0,0,473
46,Myles Turner,IND,21,81,42,39,2541.0,1173,444,869,51.1,40,115,34.8,245,303,80.9,139,450,589,106,105,74,172,262,2672,15,0,143
47,Serge Ibaka,TOR,27,79,37,42,2422.1,1173,471,982,48.0,124,317,39.1,107,125,85.6,129,409,538,75,105,41,124,215,2321,11,0,-142
48,Evan Fournier,ORL,24,68,23,45,2233.7,1167,408,930,43.9,128,360,35.6,223,277,80.5,44,165,209,202,141,66,4,180,1790,1,0,-194
49,Nicolas Batum,CHA,28,77,35,42,2617.2,1164,393,975,40.3,135,405,33.3,243,284,85.6,46,435,481,456,194,86,29,109,2576,15,1,69
50,Derrick Rose,NYK,28,64,26,38,2081.8,1154,460,977,47.1,13,60,21.7,221,253,87.4,66,180,246,283,147,44,17,84,1910,2,0,-165
51,Danilo Gallinari,DEN,28,63,31,32,2134.0,1145,335,750,44.7,126,324,38.9,349,387,90.2,39,286,325,135,82,40,15,93,1821,4,0,159
52,Tim Hardaway Jr.,ATL,25,79,42,37,2153.5,1143,415,912,45.5,149,417,35.7,164,214,76.6,35,189,224,182,106,55,15,103,1789,0,0,156
53,Kevin Love,CLE,28,60,40,20,1884.6,1142,370,867,42.7,145,389,37.3,257,295,87.1,148,518,666,116,122,53,21,125,2215,41,0,337
54,Rudy Gobert,UTA,25,81,51,30,2743.7,1137,413,625,66.1,0,1,0.0,311,476,65.3,314,721,1035,97,147,49,214,246,3167,58,0,435
55,Wilson Chandler,DEN,30,71,35,36,2196.7,1117,433,939,46.1,110,326,33.7,141,194,72.7,103,357,460,141,114,51,30,172,2010,9,0,-36
56,Bojan Bogdanovic,WAS,28,81,23,58,2082.9,1113,376,845,44.5,144,392,36.7,217,243,89.3,37,240,277,111,131,34,7,146,1604,0,0,-264
57,Andre Drummond,DET,23,81,36,45,2409.4,1105,483,911,53.0,2,7,28.6,137,355,38.6,345,770,1115,90,152,124,89,237,3065,49,0,-275
58,Marcus Morris Sr.,DET,27,79,36,43,2565.1,1105,421,1007,41.8,118,357,33.1,145,185,78.4,77,289,366,160,87,52,25,168,1928,5,0,-106
59,Chris Paul,LAC,32,61,43,18,1920.8,1104,374,785,47.6,124,302,41.1,232,260,89.2,40,264,304,563,147,119,8,146,2547,24,1,579
60,Dwyane Wade,CHI,35,60,29,31,1792.2,1096,414,955,43.4,45,145,31.0,223,281,79.4,63,207,270,228,138,86,41,112,2005,2,0,-73
61,Nikola Vucevic,ORL,26,75,27,48,2162.7,1096,483,1031,46.8,23,75,30.7,107,160,66.9,176,603,779,208,117,76,74,180,2676,38,0,-140
62,Otto Porter Jr.,WAS,24,80,48,32,2605.1,1075,414,803,51.6,148,341,43.4,99,119,83.2,118,396,514,121,44,116,42,193,2303,12,0,191
63,Ersan Ilyasova,ATL,30,82,35,47,2142.4,1071,384,890,43.1,142,402,35.3,161,207,77.8,115,366,481,141,116,58,23,211,1987,10,0,-31
64,Victor Oladipo,OKC,25,67,39,28,2222.6,1067,412,932,44.2,127,352,36.1,116,154,75.3,39,252,291,176,119,78,21,155,1858,3,0,175
65,Markieff Morris,WAS,27,76,45,31,2374.3,1063,406,889,45.7,71,196,36.2,180,215,83.7,107,386,493,126,129,82,42,254,2087,9,0,179
66,Kentavious Caldwell-Pope,DET,24,76,33,43,2528.5,1047,370,928,39.9,153,437,35.0,154,185,83.2,55,193,248,193,86,89,12,118,1851,1,0,-148
67,Elfrid Payton,ORL,23,82,29,53,2412.2,1046,430,912,47.1,40,146,27.4,146,211,69.2,89,298,387,529,178,88,40,177,2510,18,5,-147
68,Dario Saric,PHI,23,81,28,53,2129.0,1040,381,927,41.1,106,341,31.1,172,220,78.2,112,401,513,182,183,57,30,162,2007,10,0,-307
69,Enes Freedom,OKC,25,72,43,29,1532.8,1033,402,737,54.5,5,38,13.2,224,285,78.6,195,287,482,67,123,32,38,154,1799,18,0,54
70,DeAndre Jordan,LAC,28,81,51,30,2570.3,1029,412,577,71.4,0,2,0.0,205,425,48.2,298,816,1114,96,115,51,134,212,2950,41,0,455
71,Jrue Holiday,NOP,27,67,32,35,2189.9,1029,405,893,45.4,100,281,35.6,119,168,70.8,46,218,264,488,194,100,44,133,2316,16,0,38
