RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,James Harden,HOU,30,68,43,25,2482.6,2335,672,1514,44.4,299,843,35.5,692,800,86.5,70,376,446,512,308,125,60,227,3885,22,4,286
2,Damian Lillard,POR,29,66,33,33,2473.7,1978,624,1349,46.3,270,674,40.1,460,518,88.8,33,251,284,530,194,70,22,114,3196,19,1,85
3,Devin Booker,PHX,23,70,34,36,2511.7,1863,627,1283,48.9,141,398,35.4,468,509,91.9,29,268,297,456,264,49,18,213,2840,11,0,130
4,Giannis Antetokounmpo,MIL,25,63,51,12,1916.9,1857,685,1238,55.3,89,293,30.4,398,629,63.3,140,716,856,354,230,61,66,195,3566,56,4,682
5,Trae Young,ATL,21,60,18,42,2120.2,1778,546,1249,43.7,205,568,36.1,481,559,86.0,32,223,255,560,289,65,8,104,2854,28,2,-228
6,Luka Doncic,DAL,21,61,36,25,2047.2,1759,581,1255,46.3,171,541,31.6,426,562,75.8,78,495,573,538,260,62,14,153,3222,39,17,253
7,Bradley Beal,WAS,27,57,20,37,2053.1,1741,593,1303,45.5,170,481,35.3,385,457,84.2,52,190,242,347,194,71,23,126,2640,8,0,-201
8,LeBron James,LAL,35,67,50,17,2316.3,1698,643,1303,49.3,148,425,34.8,264,381,69.3,66,459,525,684,261,78,36,118,3435,46,13,442
9,Donovan Mitchell,UTA,23,69,43,26,2364.0,1655,602,1342,44.9,173,473,36.6,278,322,86.3,53,251,304,294,184,70,14,172,2529,1,0,113
10,Anthony Davis,LAL,27,62,46,16,2131.2,1618,551,1096,50.3,72,218,33.0,444,525,84.6,142,435,577,200,154,91,143,156,3158,29,0,240
11,CJ McCollum,POR,28,70,34,36,2556.6,1556,611,1356,45.1,194,512,37.9,140,185,75.7,46,251,297,310,127,54,42,183,2538,4,0,14
12,Russell Westbrook,HOU,31,57,36,21,2049.2,1553,604,1281,47.2,55,213,25.8,290,380,76.3,100,351,451,401,255,93,20,200,2780,22,8,123
13,Jayson Tatum,BOS,22,66,46,20,2265.1,1547,552,1226,45.0,189,469,40.3,254,313,81.2,64,396,460,200,155,93,57,136,2694,10,0,500
14,Kawhi Leonard,LAC,29,57,41,16,1848.1,1543,532,1133,47.0,123,325,37.8,356,402,88.6,54,348,402,280,149,103,33,113,2704,13,1,478
15,Zach LaVine,CHI,25,60,20,40,2085.4,1530,539,1199,45.0,184,484,38.0,268,334,80.2,41,248,289,254,206,88,28,131,2400,2,0,-191
16,DeMar DeRozan,SAS,30,68,31,37,2316.3,1504,557,1049,53.1,9,35,25.7,381,451,84.5,44,331,375,380,164,70,20,180,2630,7,0,-118
17,Brandon Ingram,NOP,22,62,25,37,2103.4,1477,507,1096,46.3,150,384,39.1,313,368,85.1,51,329,380,259,189,61,38,179,2430,9,0,-44
18,Nikola Jokic,DEN,25,73,46,27,2335.4,1456,565,1071,52.8,80,255,31.4,246,301,81.7,166,545,711,512,226,85,44,222,3238,43,13,255
19,Tobias Harris,PHI,27,72,43,29,2469.2,1411,553,1173,47.1,131,357,36.7,174,216,80.6,69,426,495,227,104,53,40,165,2521,11,0,160
20,Buddy Hield,SAC,27,72,31,41,2216.1,1382,498,1162,42.9,271,688,39.4,115,136,84.6,57,271,328,213,168,66,17,165,2176,2,0,-106
21,Pascal Siakam,TOR,26,60,46,14,2110.2,1371,500,1104,45.3,131,365,35.9,240,303,79.2,64,375,439,207,148,61,53,170,2402,12,0,398
22,Collin Sexton,CLE,21,65,19,46,2142.6,1349,513,1086,47.2,97,255,38.0,226,267,84.6,61,143,204,192,158,65,7,142,1940,0,0,-397
23,Shai Gilgeous-Alexander,OKC,21,70,43,27,2428.3,1331,478,1015,47.1,87,251,34.7,288,357,80.7,47,365,412,232,134,79,47,117,2417,9,1,151
24,T.J. Warren,IND,26,67,42,25,2202.4,1326,534,997,53.6,91,226,40.3,167,204,81.9,68,212,280,99,84,78,34,187,2063,2,0,127
25,Spencer Dinwiddie,BKN,27,64,30,34,1994.2,1318,424,1021,41.5,123,400,30.8,347,446,77.8,32,189,221,432,174,40,21,180,2240,9,0,52
26,Khris Middleton,MIL,28,62,46,16,1852.7,1297,471,947,49.7,147,354,41.5,208,227,91.6,44,338,382,265,137,53,7,142,2196,7,0,501
27,Bojan Bogdanovic,UTA,31,63,41,22,2082.8,1275,418,935,44.7,189,457,41.4,250,277,90.3,39,220,259,131,159,34,7,110,1746,0,0,267
28,Julius Randle,NYK,25,64,21,43,2080.4,1248,463,1006,46.0,64,231,27.7,258,352,73.3,151,471,622,198,193,51,22,178,2317,30,0,-244
29,Chris Paul,OKC,35,70,44,26,2207.9,1232,434,887,48.9,111,304,36.5,253,279,90.7,26,323,349,472,161,111,11,158,2564,10,0,330
30,Dennis Schroder,OKC,26,65,40,25,1998.9,1229,453,965,46.9,125,325,38.5,198,236,83.9,19,217,236,262,166,45,14,146,1916,0,0,231
31,Evan Fournier,ORL,27,66,28,38,2075.6,1221,434,929,46.7,173,434,39.9,180,220,81.8,18,153,171,209,125,71,15,161,1873,0,0,-82
32,Nikola Vucevic,ORL,29,62,28,34,1998.2,1215,493,1033,47.7,98,289,33.9,131,167,78.4,140,533,673,222,88,54,47,135,2571,41,0,52
33,Ja Morant,MEM,20,67,33,34,2074.3,1193,447,937,47.7,60,179,33.5,239,308,77.6,51,208,259,488,220,58,18,110,2244,15,2,-17
34,Lou Williams,LAC,33,65,44,21,1863.7,1185,391,936,41.8,111,315,35.2,292,339,86.1,31,170,201,365,182,43,12,80,1957,2,0,203
35,Dillon Brooks,MEM,24,73,34,39,2112.0,1181,435,1068,40.7,147,411,35.8,164,203,80.8,68,175,243,150,124,63,27,278,1844,0,0,-42
36,Andrew Wiggins,GSW,25,54,15,39,1858.9,1175,437,978,44.7,111,334,33.2,190,268,70.9,66,208,274,198,132,45,53,127,1963,4,1,-201
37,Montrezl Harrell,LAC,26,63,44,19,1749.1,1173,471,812,58.0,0,18,0.0,231,351,65.8,163,282,445,107,108,39,72,146,2093,12,0,251
38,Joel Embiid,PHI,26,51,32,19,1505.8,1172,382,801,47.7,57,172,33.1,351,435,80.7,141,452,593,152,159,45,65,174,2283,37,0,163
39,Jrue Holiday,NOP,30,61,26,35,2116.8,1167,458,1006,45.5,122,346,35.3,129,182,70.9,77,216,293,408,184,99,48,145,2388,10,1,35
40,Kristaps Porzingis,DAL,24,57,32,25,1813.8,1164,398,932,42.7,142,403,35.2,226,283,79.9,100,440,540,102,92,41,115,185,2341,25,0,268
41,Danilo Gallinari,OKC,31,62,37,25,1833.9,1160,358,817,43.8,178,439,40.5,266,298,89.3,34,288,322,119,76,42,5,75,1790,3,0,231
42,Jaylen Brown,BOS,23,57,38,19,1933.7,1159,427,887,48.1,129,338,38.2,176,243,72.4,62,302,364,118,125,65,20,167,1903,8,0,229
43,Jimmy Butler,MIA,30,58,38,20,1959.1,1157,345,758,45.5,29,119,24.4,438,525,83.4,106,280,386,350,127,103,32,81,2423,11,3,257
44,Domantas Sabonis,IND,24,62,37,25,2158.7,1147,458,848,54.0,17,67,25.4,214,296,72.3,189,582,771,310,170,47,30,195,2598,50,4,163
45,Bam Adebayo,MIA,22,72,44,28,2417.0,1146,440,790,55.7,2,14,14.3,264,382,69.1,176,559,735,368,204,82,93,182,2901,40,3,244
46,Devonte' Graham,CHA,25,63,23,40,2211.2,1145,368,963,38.2,218,585,37.3,191,233,82.0,42,170,212,471,181,62,15,115,2156,17,0,-184
47,Kemba Walker,BOS,30,56,37,19,1742.4,1145,378,889,42.5,180,473,38.1,209,242,86.4,36,181,217,268,117,48,28,91,1918,2,0,248
48,Terry Rozier,CHA,26,63,21,42,2164.5,1134,398,941,42.3,172,423,40.7,166,190,87.4,50,226,276,259,141,61,10,126,1926,2,0,-397
49,Kyle Lowry,TOR,34,58,41,17,2098.3,1126,334,803,41.6,164,466,35.2,294,343,85.7,32,260,292,433,178,82,26,190,2272,15,2,275
50,Tim Hardaway Jr.,DAL,28,71,41,30,2091.4,1121,384,884,43.4,204,513,39.8,149,182,81.9,25,207,232,137,69,41,5,125,1674,0,0,290
51,Jamal Murray,DEN,23,59,38,21,1903.5,1091,408,894,45.6,112,324,34.6,163,185,88.1,45,191,236,284,127,67,17,102,1925,3,0,242
52,Jordan Clarkson,UTA,28,71,34,37,1704.7,1078,394,867,45.4,152,413,36.8,138,165,83.6,50,137,187,136,97,46,16,108,1595,0,0,-5
53,De'Aaron Fox,SAC,22,51,20,31,1634.4,1077,391,815,48.0,54,185,29.2,241,342,70.5,35,161,196,348,158,74,25,145,1973,9,0,-121
54,Harrison Barnes,SAC,28,72,31,41,2481.6,1046,365,793,46.0,102,268,38.1,214,267,80.1,77,278,355,159,88,43,12,93,1788,4,0,-124
55,Kelly Oubre Jr.,PHX,24,56,22,34,1933.4,1046,373,826,45.2,108,307,35.2,192,246,78.0,67,294,361,85,83,71,40,192,1857,9,0,-27
56,Jonas Valanciunas,MEM,28,70,32,38,1845.1,1044,432,739,58.5,32,91,35.2,148,200,74.0,213,575,788,131,127,30,76,185,2377,39,1,5
57,Hassan Whiteside,POR,31,67,34,33,2008.1,1040,436,702,62.1,4,7,57.1,164,239,68.6,258,647,905,78,120,26,196,196,2789,51,0,114
58,D'Angelo Russell,MIN,24,45,11,34,1452.1,1039,360,846,42.6,158,431,36.7,161,199,80.9,17,160,177,285,147,48,13,86,1715,3,0,-252
59,Marcus Morris Sr.,LAC,30,62,26,36,1936.3,1033,355,810,43.8,142,348,40.8,181,220,82.3,59,252,311,86,97,47,30,180,1669,3,0,44
60,Paul George,LAC,30,48,34,14,1418.9,1033,343,782,43.9,157,381,41.2,190,217,87.6,24,248,272,185,125,68,20,113,1776,5,0,258
61,Rudy Gobert,UTA,28,68,42,26,2332.7,1026,386,557,69.3,0,0,0.0,254,403,63.0,230,686,916,101,130,51,135,215,2705,49,0,293
62,Kendrick Nunn,MIA,24,67,42,25,1962.5,1024,401,914,43.9,137,391,35.0,85,100,85.0,21,159,180,220,114,56,15,152,1669,0,0,61
63,Terrence Ross,ORL,29,69,31,38,1889.1,1016,341,846,40.3,177,504,35.1,157,184,85.3,13,209,222,82,70,77,24,109,1638,0,0,-72
64,Andre Drummond,CLE,26,57,21,36,1878.2,1010,418,784,53.3,5,35,14.3,169,294,57.5,250,614,864,152,203,109,93,201,2678,47,0,-191
65,LaMarcus Aldridge,SAS,34,53,23,30,1753.9,1001,391,793,49.3,61,157,38.9,158,191,82.7,103,289,392,129,74,36,87,128,1960,14,0,-129
66,Joe Harris,BKN,28,69,33,36,2123.0,998,381,784,48.6,172,406,42.4,64,89,71.9,64,234,298,144,104,41,17,159,1642,0,0,86
67,Alec Burks,PHI,28,66,21,45,1754.3,993,321,768,41.8,116,301,38.5,235,265,88.7,48,234,282,189,91,62,17,128,1761,1,0,-224
68,Jaren Jackson Jr.,MEM,20,57,28,29,1622.0,990,353,753,46.9,145,368,39.4,139,186,74.7,55,207,262,78,99,40,92,232,1718,3,0,-104
69,Kevin Love,CLE,31,56,16,40,1779.9,987,327,727,45.0,146,390,37.4,187,219,85.4,54,493,547,178,140,33,19,90,1926,23,0,-269
70,Duncan Robinson,MIA,26,73,44,29,2165.6,983,323,687,47.0,270,606,44.6,67,72,93.1,10,222,232,102,70,35,19,193,1506,1,0,351
71,Goran Dragic,MIA,34,59,37,22,1662.9,953,319,724,44.1,124,338,36.7,191,246,77.6,29,158,187,301,144,40,10,124,1635,3,0,165
72,Fred VanVleet,TOR,26,54,40,14,1928.2,952,319,773,41.3,146,374,39.0,168,198,84.8,18,185,203,357,121,100,17,132,1961,8,0,204
73,Ben Simmons,PHI,23,57,35,22,2016.9,937,375,647,58.0,2,7,28.6,185,298,62.1,113,331,444,455,200,119,33,186,2408,31,6,62
74,Karl-Anthony Towns,MIN,24,35,10,25,1187.0,926,316,622,50.8,114,277,41.2,180,226,79.6,95,283,378,153,110,33,42,117,1724,24,0,-15
75,Bogdan Bogdanovic,SAC,27,61,29,32,1765.8,924,337,766,44.0,164,441,37.2,86,116,74.1,26,181,207,207,102,64,15,133,1618,2,0,-44
76,JJ Redick,NOP,36,60,26,34,1581.0,917,286,631,45.3,180,397,45.3,165,185,89.2,10,141,151,119,75,20,10,96,1292,0,0,-21
77,Eric Bledsoe,MIL,30,61,48,13,1646.3,911,334,703,47.5,74,215,34.4,169,214,79.0,43,239,282,328,148,57,26,128,1842,2,0,433
78,Gordon Hayward,BOS,30,52,34,18,1740.0,909,350,700,50.0,85,222,38.3,124,145,85.5,55,293,348,212,96,38,22,96,1729,8,0,333
