RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Shaquille O'Neal,LAL,28,79,66,13,3165.2,2344,956,1665,57.4,0,1,0.0,432,824,52.4,336,742,1078,299,223,36,239,255,4688,63,0,705
2,Vince Carter,TOR,23,82,45,37,3128.0,2107,788,1696,46.5,95,236,40.3,436,551,79.1,150,326,476,322,178,110,92,263,3589,9,1,181
3,Karl Malone,UTA,36,82,55,27,2945.6,2095,752,1476,50.9,2,8,25.0,589,739,79.7,169,610,779,304,231,79,71,229,3705,43,0,481
4,Allen Iverson,PHI,25,70,42,28,2856.0,1989,729,1733,42.1,89,261,34.1,442,620,71.3,71,196,267,328,230,144,5,162,3018,1,0,129
5,Gary Payton,SEA,31,82,45,37,3424.4,1982,747,1666,44.8,177,520,34.0,311,423,73.5,100,429,529,732,224,153,18,178,4004,41,2,222
6,Jerry Stackhouse,DET,25,82,42,40,3148.5,1939,619,1447,42.8,83,288,28.8,618,758,81.5,118,197,315,365,311,103,36,188,2971,2,0,25
7,Grant Hill,DET,27,74,40,34,2775.3,1906,696,1422,48.9,34,98,34.7,480,604,79.5,97,393,490,385,240,103,43,190,3270,13,0,240
8,Kevin Garnett,MIN,24,81,50,31,3243.3,1857,759,1526,49.7,30,81,37.0,309,404,76.5,223,733,956,401,268,120,126,205,4076,57,1,322
9,Michael Finley,DAL,27,82,40,42,3465.3,1855,748,1636,45.7,99,247,40.1,260,317,82.0,122,396,518,438,196,109,32,171,3361,18,4,6
10,Chris Webber,SAC,27,75,41,34,2880.3,1834,748,1548,48.3,27,95,28.4,311,414,75.1,189,598,787,345,218,120,128,264,3822,49,5,134
11,Ray Allen,MIL,24,82,42,40,3071.2,1809,642,1411,45.5,172,407,42.3,353,398,88.7,83,276,359,308,183,110,19,187,2906,3,0,122
12,Alonzo Mourning,MIA,30,79,50,29,2744.8,1718,652,1184,55.1,0,4,0.0,414,582,71.1,215,538,753,123,217,40,294,308,3591,38,0,270
13,Tim Duncan,SAS,24,74,48,26,2878.6,1716,628,1281,49.0,1,11,9.1,459,603,76.1,262,656,918,234,242,66,165,210,3620,60,1,477
14,Glenn Robinson,MIL,27,81,42,39,2912.5,1693,690,1461,47.2,86,237,36.3,227,283,80.2,107,378,485,193,223,78,41,212,2699,8,0,128
15,Antoine Walker,BOS,23,82,35,47,3004.3,1680,648,1506,43.0,73,285,25.6,311,445,69.9,199,453,652,305,259,117,32,263,3108,23,1,-5
16,Shareef Abdur-Rahim,VAN,23,82,22,60,3223.8,1663,594,1277,46.5,29,96,30.2,446,551,80.9,218,607,825,271,249,89,87,244,3339,42,0,-326
17,Stephon Marbury,NJN,23,74,31,43,2881.1,1640,569,1317,43.2,66,233,28.3,436,536,81.3,61,179,240,622,270,112,15,195,2972,29,0,17
18,Elton Brand,CHI,21,81,17,64,2996.6,1627,630,1306,48.2,0,2,0.0,367,536,68.5,348,462,810,155,228,66,132,259,3198,42,0,-646
19,Allan Houston,NYK,29,82,50,32,3169.0,1614,614,1271,48.3,106,243,43.6,280,334,83.8,38,233,271,224,186,65,14,219,2326,0,0,154
20,Antonio McDyess,DEN,25,81,34,47,2699.3,1551,614,1211,50.7,0,2,0.0,323,516,62.6,234,451,685,159,230,69,139,316,3006,31,0,-215
21,Keith Van Horn,NJN,24,80,30,50,2788.3,1535,559,1257,44.5,84,228,36.8,333,393,84.7,200,476,676,158,245,64,60,258,2710,31,0,-220
22,Latrell Sprewell,NYK,29,82,50,32,3277.1,1524,568,1305,43.5,44,127,34.6,344,397,86.6,49,300,349,332,226,109,22,184,2608,4,0,171
