RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Michael Jordan,CHI,34,82,69,13,3108.8,2431,920,1892,48.6,111,297,37.4,480,576,83.3,113,369,482,352,166,140,44,156,3923,9,1,820
2,Karl Malone,UTA,33,82,64,18,2997.7,2249,864,1571,55.0,0,13,0.0,521,690,75.5,193,616,809,368,233,113,48,216,4022,43,1,767
3,Glen Rice,CHH,30,79,52,27,3359.0,2115,722,1513,47.7,207,440,47.0,464,535,86.7,67,251,318,160,177,72,26,190,2854,0,0,176
4,Mitch Richmond,SAC,32,81,34,47,3124.8,2095,717,1578,45.4,204,477,42.8,457,531,86.1,59,260,319,338,237,118,24,206,3174,4,1,-153
5,Latrell Sprewell,GSW,26,80,29,51,3349.8,1938,649,1444,44.9,147,415,35.4,493,585,84.3,58,308,366,507,322,133,45,153,3350,15,1,-216
6,Hakeem Olajuwon,HOU,34,78,54,24,2850.7,1810,727,1426,51.0,5,16,31.3,351,446,78.7,173,543,716,236,281,117,173,249,3612,28,1,382
7,Kendall Gill,NJN,29,82,26,56,3200.2,1789,644,1453,44.3,74,220,33.6,427,536,79.7,183,316,499,326,218,154,46,225,3259,9,0,-184
8,Allen Iverson,PHI,22,76,20,56,3041.4,1787,625,1504,41.6,155,455,34.1,382,544,70.2,115,197,312,567,337,157,24,233,3218,19,0,-438
9,Gary Payton,SEA,28,82,57,25,3214.4,1785,706,1482,47.6,119,380,31.3,254,355,71.5,106,272,378,583,215,197,13,208,3528,19,2,625
10,Patrick Ewing,NYK,34,78,54,24,2886.8,1751,655,1342,48.8,2,9,22.2,439,582,75.4,175,659,834,156,269,69,189,250,3491,47,0,315
11,Reggie Miller,IND,31,81,38,43,2967.3,1751,552,1244,44.4,229,536,42.7,418,475,88.0,53,233,286,273,166,75,25,172,2638,1,0,97
12,Grant Hill,DET,24,80,52,28,3146.9,1710,625,1259,49.6,10,33,30.3,450,633,71.1,123,598,721,583,259,145,48,186,3770,36,13,410
13,Glenn Robinson,MIL,24,80,33,47,3109.6,1689,669,1438,46.5,63,180,35.0,288,364,79.1,130,372,502,248,269,103,68,225,2907,8,0,-145
14,Jerry Stackhouse,PHI,22,81,22,59,3169.2,1679,533,1308,40.7,102,342,29.8,511,667,76.6,156,182,338,253,316,93,63,219,2616,1,0,-440
