RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kevin Durant,OKC,23,66,47,19,2546.3,1850,643,1297,49.6,133,344,38.7,431,501,86.0,40,487,527,231,248,88,77,133,3076,18,0,368
2,LeBron James,MIA,27,62,45,17,2326.2,1683,621,1169,53.1,54,149,36.2,387,502,77.1,94,398,492,387,213,115,50,96,3136,23,0,474
3,Kobe Bryant,LAL,33,58,36,22,2232.2,1616,574,1336,43.0,87,287,30.3,381,451,84.5,66,247,313,264,204,69,18,105,2445,3,0,138
4,Russell Westbrook,OKC,23,66,47,19,2331.3,1558,578,1266,45.7,62,196,31.6,340,413,82.3,96,205,301,362,239,112,21,147,2622,7,0,368
5,Kevin Love,MIN,23,55,24,31,2145.5,1432,474,1059,44.8,105,282,37.2,379,460,82.4,226,508,734,111,128,47,28,152,2576,48,0,26
6,Blake Griffin,LAC,23,66,40,26,2391.9,1368,561,1022,54.9,2,16,12.5,244,468,52.1,218,499,717,210,150,54,48,216,2699,41,0,334
7,Dirk Nowitzki,DAL,34,62,33,29,2079.2,1342,473,1034,45.7,78,212,36.8,318,355,89.6,46,372,418,136,117,42,30,129,2147,11,0,261
8,Brandon Jennings,MIL,22,66,31,35,2331.3,1260,469,1121,41.8,129,388,33.2,193,239,80.8,49,177,226,365,146,104,22,114,2311,6,0,-105
9,Carmelo Anthony,NYK,28,55,29,26,1876.2,1245,441,1025,43.0,68,203,33.5,295,367,80.4,88,256,344,200,144,62,24,156,2072,8,1,108
10,Josh Smith,ATL,26,66,40,26,2328.7,1239,504,1101,45.8,28,109,25.7,203,322,63.0,136,496,632,257,164,93,115,172,2843,28,0,273
11,Rudy Gay,MEM,25,65,41,24,2422.1,1232,485,1067,45.5,54,173,31.2,208,263,79.1,130,287,417,147,161,95,55,138,2242,8,0,96
12,LaMarcus Aldridge,POR,26,55,26,29,1994.4,1191,483,943,51.2,2,11,18.2,223,274,81.4,150,292,442,134,111,51,45,153,2099,13,0,146
13,Chris Paul,LAC,27,60,37,23,2180.5,1189,425,890,47.8,79,213,37.1,260,302,86.1,42,171,213,543,124,152,4,138,2603,23,0,328
14,Monta Ellis,MIL,26,58,29,29,2120.4,1181,450,1040,43.3,62,201,30.8,219,275,79.6,20,180,200,346,177,85,18,136,2072,5,0,-29
15,Paul Pierce,BOS,34,61,38,23,2074.6,1181,394,890,44.3,100,273,36.6,293,344,85.2,37,280,317,274,173,70,26,147,2087,6,0,192
16,Al Jefferson,UTA,27,61,32,29,2075.0,1170,516,1048,49.2,1,4,25.0,137,177,77.4,133,452,585,134,62,47,101,155,2455,31,0,159
17,DeMarcus Cousins,SAC,21,64,20,44,1950.1,1160,448,999,44.8,2,14,14.3,262,373,70.2,265,438,703,102,170,93,75,257,2491,36,0,-177
18,Danny Granger,IND,29,62,41,21,2062.1,1159,391,941,41.6,123,323,38.1,254,291,87.3,79,228,307,109,110,62,40,144,1887,0,0,295
19,Deron Williams,NJN,28,55,21,34,1998.8,1154,391,961,40.7,115,342,33.6,257,305,84.3,23,160,183,481,219,67,20,121,2137,22,0,-179
20,David Lee,GSW,29,57,22,35,2121.0,1147,464,922,50.3,0,5,0.0,219,280,78.2,171,374,545,162,149,54,22,179,2123,27,1,-142
21,Joe Johnson,ATL,31,60,36,24,2126.5,1129,423,931,45.4,125,322,38.8,158,186,84.9,53,168,221,232,116,48,13,75,1809,0,0,237
22,Pau Gasol,LAL,31,65,41,24,2430.0,1129,459,917,50.1,7,27,25.9,204,261,78.2,183,495,678,237,142,37,88,127,2531,42,1,158
23,Andrew Bynum,LAL,24,60,38,22,2111.5,1123,444,796,55.8,1,5,20.0,234,338,69.2,192,517,709,85,152,27,116,104,2378,37,0,112
24,Antawn Jamison,CLE,36,65,20,45,2151.0,1118,421,1044,40.3,91,267,34.1,185,271,68.3,123,285,408,131,90,51,43,164,1996,7,0,-300
25,Dwight Howard,ORL,26,54,33,21,2069.7,1113,416,726,57.3,0,7,0.0,281,572,49.1,200,585,785,104,175,81,116,159,2627,43,0,179
26,Tony Parker,SAS,30,60,47,13,1923.1,1095,427,890,48.0,14,61,23.0,227,284,79.9,22,149,171,463,153,57,5,75,2028,12,0,420
27,Dwyane Wade,MIA,30,49,32,17,1625.1,1082,416,837,49.7,15,56,26.8,235,297,79.1,73,164,237,225,129,82,63,110,2010,4,0,343
28,John Wall,WAS,21,66,20,46,2386.1,1076,378,894,42.3,3,42,7.1,317,402,78.9,48,252,300,530,255,95,57,137,2432,16,0,-258
29,Paul Millsap,UTA,27,64,34,30,2099.5,1061,426,861,49.5,7,31,22.6,202,255,79.2,180,383,563,150,112,118,52,222,2360,21,0,195
30,DeMar DeRozan,TOR,22,63,22,41,2205.6,1054,381,903,42.2,24,92,26.1,268,331,81.0,40,171,211,128,123,48,17,162,1571,0,0,-93
31,James Harden,OKC,22,62,44,18,1946.1,1044,309,629,49.1,114,292,39.0,312,369,84.6,30,222,252,229,137,62,15,150,1784,0,0,367
32,Tyreke Evans,SAC,22,63,19,44,2162.4,1037,408,900,45.3,20,99,20.2,201,258,77.9,64,225,289,283,171,84,29,136,1976,5,0,-291
33,Chris Bosh,MIA,28,57,42,15,2006.9,1025,393,807,48.7,10,35,28.6,229,279,82.1,94,358,452,103,117,51,45,128,1893,11,0,388
34,Luis Scola,HOU,32,66,34,32,2067.2,1025,436,888,49.1,0,3,0.0,153,198,77.3,122,306,428,140,153,35,24,214,1773,11,0,67
35,Marcin Gortat,PHX,28,66,33,33,2114.0,1017,427,769,55.5,0,2,0.0,163,251,64.9,185,474,659,59,90,48,99,142,2247,31,0,91
36,Greg Monroe,DET,22,66,25,41,2081.9,1015,407,781,52.1,0,1,0.0,201,272,73.9,239,398,637,152,161,83,46,180,2233,30,0,-202
37,Ty Lawson,DEN,24,61,36,25,2124.0,999,374,767,48.8,73,200,36.5,178,216,82.4,54,173,227,401,149,82,6,94,1988,11,0,138
38,Carlos Boozer,CHI,30,66,50,16,1948.4,991,448,842,53.2,0,1,0.0,95,137,69.3,114,450,564,125,115,63,24,168,2001,18,0,273
39,Ryan Anderson,ORL,24,61,36,25,1963.6,980,332,757,43.9,166,422,39.3,150,171,87.7,224,247,471,54,57,50,26,146,1797,14,0,273
40,Lou Williams,PHI,25,64,34,30,1681.7,956,318,782,40.7,83,229,36.2,237,292,81.2,30,125,155,221,71,53,18,90,1616,0,0,229
41,Marc Gasol,MEM,27,65,40,25,2370.3,952,357,740,48.2,1,12,8.3,237,317,74.8,120,459,579,204,121,62,121,201,2381,24,0,274
42,Marcus Thornton,SAC,25,51,19,32,1779.7,952,352,803,43.8,107,310,34.5,141,163,86.5,84,104,188,98,84,71,12,111,1490,1,0,-174
43,Jason Terry,DAL,34,63,34,29,1999.9,950,357,830,43.0,138,365,37.8,98,111,88.3,16,133,149,226,127,73,11,69,1593,0,0,15
44,Kevin Garnett,BOS,36,60,37,23,1864.1,947,391,777,50.3,3,9,33.3,162,189,85.7,66,428,494,175,107,56,61,141,2046,21,0,269
45,Kyrie Irving,CLE,20,51,17,34,1557.9,944,350,747,46.9,73,183,39.9,171,196,87.2,44,147,191,275,160,54,20,110,1648,1,0,-161
46,Arron Afflalo,DEN,26,62,36,26,2086.4,943,329,699,47.1,88,221,39.8,197,247,79.8,40,157,197,149,85,36,13,134,1465,1,0,33
47,Jordan Crawford,WAS,23,64,18,46,1752.8,938,349,872,40.0,79,273,28.9,161,203,79.3,44,124,168,190,141,59,5,111,1476,0,0,-291
48,Al Harrington,DEN,32,64,36,28,1761.0,910,345,773,44.6,101,303,33.3,119,176,67.6,72,318,390,88,112,58,12,181,1608,9,0,166
49,Wesley Matthews,POR,25,66,28,38,2227.7,904,314,763,41.2,129,337,38.3,147,171,86.0,56,168,224,113,73,96,15,148,1602,0,0,64
50,Tim Duncan,SAS,36,58,45,13,1634.0,895,361,733,49.2,0,4,0.0,173,249,69.5,110,410,520,132,97,38,88,98,1998,22,0,308
51,Jrue Holiday,PHI,22,65,35,30,2196.1,879,360,834,43.2,65,171,38.0,94,120,78.3,57,155,212,290,135,103,18,137,1796,1,0,213
52,Nick Young,LAC,27,62,22,40,1729.2,879,316,784,40.3,103,282,36.5,144,169,85.2,31,102,133,56,83,44,17,141,1223,0,0,-187
53,Kris Humphries,NJN,27,62,22,40,2161.8,855,323,671,48.1,0,0,0.0,209,278,75.2,233,448,681,90,119,50,74,173,2060,29,0,-177
54,Derrick Rose,CHI,23,39,32,7,1374.5,852,302,695,43.5,54,173,31.2,194,239,81.2,26,105,131,307,119,35,28,52,1540,9,0,290
55,Brandon Knight,DET,20,66,25,41,2128.5,847,319,769,41.5,105,276,38.0,104,137,75.9,33,178,211,251,171,49,10,154,1483,3,0,-258
56,David West,IND,31,66,42,24,1924.6,842,349,716,48.7,2,9,22.2,142,176,80.7,118,315,433,140,93,52,46,160,1773,12,0,219
57,Jamal Crawford,POR,32,60,28,32,1612.7,837,283,737,38.4,80,260,30.8,191,206,92.7,16,102,118,191,111,55,14,74,1361,0,0,-14
58,Roy Hibbert,IND,25,65,41,24,1936.9,834,332,668,49.7,0,1,0.0,170,239,71.1,213,359,572,108,128,32,128,195,2034,21,0,214
59,O.J. Mayo,MEM,24,66,41,25,1770.9,833,300,736,40.8,100,275,36.4,133,172,77.3,30,180,210,169,124,71,23,137,1497,0,0,33
60,Jeff Teague,ATL,24,66,40,26,2182.9,831,320,672,47.6,51,149,34.2,140,185,75.7,21,138,159,321,134,106,37,145,1798,3,0,232
61,Gerald Henderson,CHA,24,55,6,49,1831.1,830,332,723,45.9,11,47,23.4,155,204,76.0,64,161,225,126,100,49,20,128,1396,1,0,-492
62,Luol Deng,CHI,27,54,42,12,2129.0,828,311,755,41.2,79,215,36.7,127,165,77.0,77,273,350,157,96,56,36,81,1664,10,0,377
63,Klay Thompson,GSW,22,66,23,43,1607.7,826,318,718,44.3,111,268,41.4,79,91,86.8,24,137,161,133,103,49,20,155,1323,0,0,-131
64,Amar'e Stoudemire,NYK,29,47,22,25,1543.2,823,316,654,48.3,5,21,23.8,186,243,76.5,106,261,367,52,112,38,45,138,1478,16,0,-44
65,Jared Dudley,PHX,26,65,32,33,2019.9,823,312,643,48.5,80,209,38.3,119,164,72.6,95,206,301,112,72,49,19,107,1484,2,0,87
66,Nicolas Batum,POR,23,59,27,32,1790.9,818,289,641,45.1,107,274,39.1,133,159,83.6,81,190,271,84,90,57,60,105,1530,2,0,-59
67,Rodney Stuckey,DET,26,55,23,32,1643.5,812,256,597,42.9,33,104,31.7,267,320,83.4,38,104,142,210,106,44,10,124,1353,0,0,-35
68,Thaddeus Young,PHI,24,63,33,30,1755.3,808,348,687,50.7,1,4,25.0,111,144,77.1,137,188,325,74,55,64,41,127,1569,1,0,271
69,Gerald Wallace,NJN,29,58,26,32,2075.5,800,287,632,45.4,46,150,30.7,180,225,80.0,87,299,386,164,111,85,36,145,1761,9,0,96
70,Kemba Walker,CHA,22,66,7,59,1792.0,799,281,767,36.6,69,226,30.5,168,213,78.9,30,204,234,289,119,60,20,79,1634,2,1,-505
71,Paul George,IND,22,66,42,24,1957.7,798,281,639,44.0,90,234,38.5,146,182,80.2,56,314,370,158,117,108,38,191,1800,2,0,246
72,Tayshaun Prince,DET,32,63,25,38,2087.4,798,336,798,42.1,37,104,35.6,89,115,77.4,72,209,281,153,74,27,32,77,1468,2,0,-239
73,Mike Conley,MEM,24,62,38,24,2174.1,788,296,684,43.3,60,159,37.7,136,158,86.1,22,134,156,404,125,136,11,133,1897,8,0,260
74,Ersan Ilyasova,MIL,25,60,28,32,1654.9,782,294,597,49.2,51,112,45.5,143,183,78.1,196,333,529,71,76,42,44,133,1705,20,0,18
75,Gordon Hayward,UTA,22,66,36,30,2014.7,782,267,586,45.6,55,159,34.6,193,232,83.2,59,171,230,207,109,53,41,106,1542,1,0,52
76,Marco Belinelli,NOH,26,66,21,45,1965.7,780,286,686,41.7,107,284,37.7,101,129,78.3,19,153,172,101,69,48,5,115,1228,0,0,-246
77,Goran Dragic,HOU,26,66,34,32,1751.9,775,277,600,46.2,68,202,33.7,153,190,80.5,53,115,168,351,157,85,10,166,1631,8,0,69
78,Steve Nash,PHX,38,62,32,30,1961.1,772,295,555,53.2,55,141,39.0,127,142,89.4,26,160,186,664,229,38,8,53,1900,28,0,177
79,Andre Iguodala,PHI,28,62,33,29,2209.1,771,287,632,45.4,76,193,39.4,121,196,61.7,56,325,381,339,115,107,30,92,2033,8,1,218
80,Drew Gooden,MIL,30,56,26,30,1468.8,766,287,657,43.7,16,55,29.1,176,208,84.6,130,233,363,144,109,46,34,112,1549,13,1,-159
81,Caron Butler,LAC,32,63,39,24,1870.7,753,287,705,40.7,92,257,35.8,87,107,81.3,44,186,230,78,77,52,9,123,1252,1,0,283
82,JJ Redick,ORL,28,65,37,28,1764.5,751,248,584,42.5,112,268,41.8,143,157,91.1,18,132,150,164,68,27,6,92,1208,0,0,26
83,Isaiah Thomas,SAC,23,65,22,43,1655.4,749,256,571,44.8,83,219,37.9,154,185,83.2,48,120,168,266,105,53,8,121,1428,3,0,-74
84,Anthony Morrow,NJN,26,62,20,42,1636.3,747,272,658,41.3,106,286,37.1,97,104,93.3,31,96,127,61,70,46,9,86,1086,0,0,-92
85,Brandon Bass,BOS,27,59,37,22,1868.2,738,303,632,47.9,0,0,0.0,132,163,81.0,95,270,365,55,65,34,54,135,1458,7,0,157
86,Ramon Sessions,LAL,26,64,30,34,1706.9,721,242,565,42.8,43,97,44.3,194,248,78.2,33,181,214,354,141,44,3,100,1509,5,0,-36
87,Devin Harris,UTA,29,63,36,27,1741.1,715,241,542,44.5,77,213,36.2,156,209,74.6,12,100,112,316,122,64,13,136,1432,1,0,96
88,Randy Foye,LAC,28,65,40,25,1682.1,712,256,644,39.8,127,329,38.6,73,85,85.9,25,113,138,146,73,46,24,130,1234,1,0,58
89,Leandro Barbosa,IND,29,64,30,34,1381.7,708,271,637,42.5,65,170,38.2,101,124,81.5,33,95,128,96,94,56,7,135,1101,0,0,-45
90,MarShon Brooks,NJN,23,56,18,38,1648.3,708,274,640,42.8,47,150,31.3,113,148,76.4,70,130,200,131,118,52,15,116,1228,1,0,-313
91,Jarrett Jack,NOH,28,45,10,35,1530.3,700,266,583,45.6,39,112,34.8,129,148,87.2,23,153,176,285,106,31,9,93,1353,5,1,-263
92,Tyson Chandler,NYK,29,62,34,28,2060.6,699,241,355,67.9,0,2,0.0,217,315,68.9,212,400,612,56,102,56,89,186,1850,20,0,125
93,JaVale McGee,DEN,24,61,22,39,1534.8,691,307,552,55.6,0,0,0.0,77,167,46.1,163,314,477,31,87,35,132,166,1724,15,0,-305
94,Mo Williams,LAC,29,52,29,23,1471.7,685,260,611,42.6,93,239,38.9,72,80,90.0,23,76,99,160,86,51,7,103,1132,0,0,-43
95,Raymond Felton,POR,28,60,28,32,1905.5,684,261,642,40.7,62,203,30.5,100,124,80.6,27,122,149,390,170,78,10,122,1542,6,0,142
96,Kevin Martin,HOU,29,40,20,20,1263.6,682,222,537,41.3,78,225,34.7,160,179,89.4,13,93,106,110,70,28,3,70,997,0,0,-15
97,Mike Dunleavy,MIL,31,55,29,26,1444.7,677,239,504,47.4,83,208,39.9,116,143,81.1,29,175,204,117,58,28,8,87,1147,0,0,170
98,Jameer Nelson,ORL,30,57,33,24,1706.1,676,259,606,42.7,87,231,37.7,71,88,80.7,29,152,181,325,135,38,5,130,1375,4,0,169
99,Channing Frye,PHX,29,64,33,31,1669.4,674,255,613,41.6,91,263,34.6,73,82,89.0,71,308,379,88,63,42,70,176,1534,9,0,167
100,Kyle Lowry,HOU,26,47,24,23,1510.0,670,210,513,40.9,79,211,37.4,171,198,86.4,37,176,213,310,130,73,14,133,1522,4,1,44
101,Shawn Marion,DAL,34,63,34,29,1919.3,670,288,646,44.6,20,68,29.4,74,93,79.6,145,320,465,132,98,67,36,87,1637,12,0,-81
102,Alonzo Gee,CLE,25,63,20,43,1827.0,665,227,551,41.2,44,137,32.1,167,212,78.8,101,221,322,113,114,83,17,149,1407,2,0,-215
103,Courtney Lee,HOU,26,58,30,28,1757.0,660,251,580,43.3,87,217,40.1,71,86,82.6,26,133,159,88,64,68,22,106,1189,0,0,48
