RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Dwyane Wade,MIA,27,79,42,37,3048.0,2386,854,1739,49.1,88,278,31.7,590,771,76.5,89,309,398,589,272,173,106,178,4312,20,0,212
2,LeBron James,CLE,24,81,66,15,3054.1,2304,789,1613,48.9,132,384,34.4,594,762,78.0,106,507,613,587,241,137,93,139,4369,29,7,872
3,Kobe Bryant,LAL,30,82,65,17,2960.0,2201,800,1712,46.7,118,336,35.1,483,564,85.6,90,339,429,399,210,120,37,189,3575,8,2,659
4,Dirk Nowitzki,DAL,31,81,49,32,3050.5,2094,774,1616,47.9,61,170,35.9,485,545,89.0,88,593,681,197,157,61,63,176,3422,26,0,245
5,Kevin Durant,OKC,20,74,18,56,2884.9,1871,661,1390,47.6,97,230,42.2,452,524,86.3,77,405,482,205,225,96,53,134,2979,15,0,-503
6,Antawn Jamison,WAS,33,81,19,62,3095.7,1801,674,1441,46.8,112,319,35.1,341,452,75.4,196,525,721,153,125,95,25,218,3131,38,0,-480
7,Chris Paul,NOH,24,78,47,31,3002.1,1781,631,1255,50.3,64,176,36.4,455,524,86.8,69,363,432,861,231,216,10,212,4038,50,6,349
8,Brandon Roy,POR,24,78,52,26,2903.3,1765,633,1318,48.0,83,220,37.7,416,505,82.4,104,266,370,400,152,88,22,127,2987,3,0,504
9,Chris Bosh,TOR,25,77,31,46,2927.9,1746,615,1263,48.7,12,49,24.5,504,617,81.7,215,556,771,191,174,67,77,189,3216,43,0,-86
10,Danny Granger,IND,26,67,27,40,2424.2,1728,571,1277,44.7,182,450,40.4,404,460,87.8,49,292,341,183,165,69,97,207,2745,6,0,69
11,Ben Gordon,CHI,26,82,41,41,2999.0,1699,598,1315,45.5,173,422,41.0,330,382,86.4,52,231,283,279,200,71,22,184,2536,0,0,24
12,Joe Johnson,ATL,28,79,45,34,3124.4,1688,620,1420,43.7,149,414,36.0,299,362,82.6,65,281,346,455,195,84,19,176,2900,4,1,178
13,Vince Carter,NJN,32,80,34,46,2946.2,1662,588,1345,43.7,151,392,38.5,335,410,81.7,74,336,410,376,166,82,38,234,2912,8,1,-118
14,Paul Pierce,BOS,31,81,61,20,3035.5,1658,540,1181,45.7,119,304,39.1,459,553,83.0,56,401,457,294,228,80,27,215,2740,7,0,531
15,Dwight Howard,ORL,23,79,57,22,2821.2,1624,560,979,57.2,0,2,0.0,504,849,59.4,336,757,1093,112,240,77,231,270,3788,63,1,550
16,Richard Jefferson,MIL,29,82,34,48,2938.6,1607,537,1222,43.9,116,292,39.7,417,518,80.5,57,317,374,199,165,66,14,252,2429,2,0,-104
17,David West,NOH,28,76,45,31,2981.8,1593,610,1292,47.2,6,25,24.0,367,415,88.4,160,486,646,173,163,49,68,207,2816,29,0,220
18,Tony Parker,SAS,27,72,47,25,2455.7,1581,639,1263,50.6,19,65,29.2,284,363,78.2,27,196,223,496,186,67,4,110,2620,15,0,324
19,Andre Iguodala,PHI,25,82,41,41,3269.0,1541,542,1147,47.3,80,261,30.7,377,521,72.4,92,379,471,434,222,131,36,152,3036,11,0,124
20,Pau Gasol,LAL,28,81,64,17,2999.4,1528,592,1045,56.7,1,2,50.0,343,439,78.1,262,518,780,284,157,52,81,172,3132,37,1,570
21,O.J. Mayo,MEM,21,82,24,58,3120.3,1516,562,1283,43.8,145,378,38.4,247,281,87.9,56,252,308,262,226,91,13,204,2365,2,0,-417
22,Yao Ming,HOU,28,77,50,27,2588.9,1514,566,1032,54.8,1,1,100,381,440,86.6,204,557,761,137,234,30,150,257,2939,38,0,450
23,Carmelo Anthony,DEN,25,66,45,21,2277.1,1504,535,1207,44.3,63,170,37.1,371,468,79.3,106,344,450,222,199,75,24,195,2475,12,0,304
24,Rudy Gay,MEM,22,79,22,57,2945.5,1493,572,1262,45.3,85,242,35.1,264,344,76.7,109,328,437,135,203,98,59,221,2488,6,0,-434
25,Devin Harris,NJN,26,69,30,39,2494.3,1470,455,1039,43.8,64,220,29.1,496,605,82.0,30,201,231,476,212,114,13,164,2630,16,0,-98
26,LaMarcus Aldridge,POR,23,81,54,27,3003.8,1470,601,1243,48.4,7,28,25.0,261,334,78.1,234,371,605,157,121,77,77,207,2773,19,0,486
27,Al Harrington,NYK,29,73,27,46,2546.5,1469,532,1212,43.9,171,470,36.4,234,295,79.3,99,356,455,102,161,88,22,227,2337,10,0,-73
28,Tim Duncan,SAS,33,75,49,26,2524.0,1450,558,1107,50.4,0,2,0.0,334,483,69.2,201,599,800,264,165,38,126,173,3133,49,0,258
29,Jason Terry,DAL,31,74,45,29,2490.9,1447,541,1168,46.3,167,456,36.6,198,225,88.0,39,138,177,251,119,97,20,141,2268,0,0,145
30,John Salmons,CHI,29,79,27,52,2959.0,1446,516,1093,47.2,126,302,41.7,288,347,83.0,59,274,333,249,165,83,24,182,2375,3,0,-446
31,Mo Williams,CLE,26,81,66,15,2834.1,1443,526,1126,46.7,183,420,43.6,208,228,91.2,47,232,279,329,179,69,9,215,2326,1,0,583
32,Ray Allen,BOS,33,79,59,20,2875.7,1434,499,1040,48.0,199,486,40.9,237,249,95.2,66,212,278,218,134,69,13,157,2207,0,0,628
33,Rashard Lewis,ORL,29,79,58,21,2859.0,1401,478,1089,43.9,220,554,39.7,225,269,83.6,92,361,453,205,158,81,51,194,2490,4,0,582
34,Chauncey Billups,DEN,32,79,54,25,2788.5,1400,410,980,41.8,162,397,40.8,418,458,91.3,32,207,239,506,177,93,18,161,2602,10,0,286
35,Caron Butler,WAS,29,67,15,52,2584.9,1392,491,1085,45.3,65,210,31.0,345,402,85.8,118,296,414,290,210,106,20,165,2492,11,0,-379
36,Derrick Rose,CHI,20,81,40,41,3000.0,1361,574,1208,47.5,16,72,22.2,197,250,78.8,96,221,317,512,202,66,18,125,2559,8,0,-121
37,Andre Miller,PHI,33,82,41,41,2976.2,1337,492,1041,47.3,15,53,28.3,338,409,82.6,123,245,368,534,199,109,14,196,2750,12,2,111
38,Shaquille O'Neal,PHX,37,75,44,31,2252.1,1333,512,841,60.9,0,1,0.0,309,519,59.5,187,446,633,126,168,49,108,253,2585,30,0,136
39,Deron Williams,UTA,25,68,39,29,2505.2,1322,463,984,47.1,70,226,31.0,326,384,84.9,24,171,195,725,228,73,20,134,2695,44,0,159
40,Hedo Turkoglu,ORL,30,77,56,21,2815.1,1294,423,1025,41.3,134,376,35.6,314,389,80.7,45,365,410,375,204,64,19,218,2394,4,0,514
41,David Lee,NYK,26,81,32,49,2824.1,1293,522,951,54.9,0,3,0.0,249,330,75.5,256,695,951,174,150,80,22,260,2851,65,0,-197
42,Jeff Green,OKC,22,78,20,58,2873.0,1290,476,1068,44.6,96,247,38.9,242,307,78.8,120,399,519,155,173,81,33,202,2314,13,0,-410
43,Jamal Crawford,GSW,29,65,25,40,2478.3,1280,419,1022,41.0,142,394,36.0,300,344,87.2,23,170,193,288,148,57,13,92,2006,1,0,-210
44,Nate Robinson,NYK,25,74,28,46,2208.6,1272,449,1028,43.7,125,385,32.5,249,296,84.1,98,192,290,301,139,95,6,206,2236,4,0,8
45,Charlie Villanueva,MIL,24,78,33,45,2094.9,1264,487,1089,44.7,89,258,34.5,201,240,83.8,154,366,520,137,138,50,56,254,2274,14,0,-69
46,Russell Westbrook,OKC,20,82,23,59,2668.0,1256,436,1095,39.8,35,129,27.1,349,428,81.5,178,221,399,435,274,110,16,191,2491,10,1,-273
47,Kevin Martin,SAC,26,51,12,39,1946.9,1254,341,811,42.0,115,277,41.5,457,527,86.7,29,154,183,138,146,61,8,116,1742,1,0,-302
48,Eric Gordon,LAC,20,78,19,59,2676.7,1252,411,901,45.6,131,337,38.9,299,350,85.4,45,156,201,215,164,78,35,172,1991,0,0,-459
49,JR Smith,DEN,23,81,53,28,2244.6,1233,424,950,44.6,180,453,39.7,205,272,75.4,43,254,297,227,150,78,14,190,2056,2,0,358
50,Mehmet Okur,UTA,30,72,44,28,2409.1,1225,431,888,48.5,90,202,44.6,273,334,81.7,124,433,557,120,132,54,53,219,2262,23,0,163
51,Richard Hamilton,DET,31,67,32,35,2279.0,1225,466,1043,44.7,70,190,36.8,223,263,84.8,44,163,207,297,133,40,4,176,1918,3,0,10
52,Stephen Jackson,GSW,31,59,21,38,2339.1,1223,413,997,41.4,103,305,33.8,294,356,82.6,70,233,303,381,229,88,31,153,2286,9,1,-160
53,Jason Richardson,PHX,28,72,37,35,2410.5,1212,465,974,47.7,129,325,39.7,153,199,76.9,77,242,319,146,95,76,28,146,2031,1,0,-23
54,Andrea Bargnani,TOR,23,78,30,48,2453.4,1202,431,958,45.0,119,291,40.9,221,266,83.1,70,346,416,94,135,34,97,242,2100,6,0,-248
55,Al Thornton,LAC,25,71,16,55,2654.1,1194,469,1051,44.6,20,79,25.3,236,313,75.4,122,246,368,103,130,59,62,227,2023,1,0,-565
56,Wilson Chandler,NYK,22,82,32,50,2734.8,1184,455,1054,43.2,103,314,32.8,171,215,79.5,91,354,445,170,139,71,75,250,2272,3,0,-222
57,Gerald Wallace,CHA,26,71,32,39,2669.3,1182,389,811,48.0,39,131,29.8,365,454,80.4,112,441,553,189,148,121,67,210,2545,20,0,50
58,Metta World Peace,HOU,29,69,47,22,2451.8,1181,416,1037,40.1,153,383,39.9,196,262,74.8,65,294,359,229,140,105,24,155,2202,3,0,317
59,Mike Bibby,ATL,31,79,47,32,2739.9,1176,437,1005,43.5,167,428,39.0,135,171,78.9,38,240,278,392,128,98,11,145,2297,4,0,63
60,Tayshaun Prince,DET,29,82,39,43,3057.3,1163,459,1020,45.0,56,141,39.7,189,243,77.8,128,348,476,253,101,44,51,104,2298,11,0,-75
61,Raymond Felton,CHA,25,82,35,47,3086.3,1162,442,1083,40.8,59,207,28.5,219,272,80.5,54,256,310,553,228,126,30,191,2604,7,0,-3
62,Steve Nash,PHX,35,74,42,32,2484.0,1160,428,851,50.3,108,246,43.9,196,210,93.3,19,204,223,717,248,55,10,108,2450,29,0,242
63,Al Jefferson,MIN,24,50,17,33,1835.8,1156,485,975,49.7,0,4,0.0,186,252,73.8,172,376,548,79,92,39,83,141,2206,30,0,-104
64,Thaddeus Young,PHI,21,75,39,36,2579.7,1145,475,960,49.5,56,164,34.1,139,189,73.5,139,238,377,86,118,100,23,165,1977,2,0,150
65,Randy Foye,MIN,25,70,19,51,2494.3,1139,399,981,40.7,111,308,36.0,230,272,84.6,34,180,214,303,150,72,26,201,1994,2,0,-207
66,Amar'e Stoudemire,PHX,26,53,30,23,1947.9,1134,404,749,53.9,3,7,42.9,323,387,83.5,116,314,430,104,150,49,57,163,1974,16,0,114
67,Michael Beasley,MIA,20,81,43,38,2008.6,1123,452,957,47.2,33,81,40.7,186,241,77.2,110,329,439,83,121,41,37,184,1887,8,0,6
68,Nene,DEN,26,77,51,26,2510.4,1123,428,709,60.4,1,5,20.0,266,368,72.3,183,415,598,108,147,95,101,278,2444,20,0,301
69,Ronnie Brewer,UTA,24,81,48,33,2604.7,1111,421,828,50.8,22,85,25.9,247,352,70.2,101,199,300,179,110,138,30,128,2134,0,0,79
70,T.J. Ford,IND,26,74,34,40,2257.9,1106,413,913,45.2,35,104,33.7,245,281,87.2,59,200,259,392,180,89,16,180,2140,4,0,-81
71,Ryan Gomes,MIN,26,82,24,58,2613.7,1092,420,974,43.1,106,285,37.2,146,181,80.7,106,286,392,135,128,63,22,183,1892,2,0,-349
72,Emeka Okafor,CHA,26,82,35,47,2691.3,1085,433,772,56.1,0,0,0.0,219,369,59.3,275,552,827,53,144,48,136,247,2565,39,0,22
73,Jarrett Jack,IND,25,82,36,46,2716.5,1074,386,853,45.3,78,221,35.3,224,263,85.2,44,232,276,338,184,88,17,179,2043,0,0,-34
74,Josh Smith,ATL,23,69,41,28,2420.5,1073,418,849,49.2,26,87,29.9,211,359,58.8,134,364,498,169,161,94,111,184,2378,20,0,149
75,Boris Diaw,CHA,27,81,41,40,2753.8,1072,448,884,50.7,75,181,41.4,101,147,68.7,118,314,432,333,215,61,53,202,2217,8,0,74
76,Brook Lopez,NJN,21,82,34,48,2501.4,1068,448,844,53.1,0,2,0.0,172,217,79.3,225,440,665,86,147,44,151,257,2433,18,0,-103
77,Kelenna Azubuike,GSW,25,74,29,45,2374.6,1063,392,845,46.4,94,210,44.8,185,229,80.8,112,258,370,117,95,57,50,183,1909,5,0,-123
78,Rodney Stuckey,DET,23,79,36,43,2516.6,1058,401,913,43.9,23,78,29.5,233,290,80.3,69,206,275,387,173,78,11,217,2063,5,0,-74
79,Luis Scola,HOU,29,82,53,29,2487.9,1044,424,799,53.1,0,3,0.0,196,258,76.0,200,520,720,123,123,68,11,261,2207,28,0,212
80,Troy Murphy,IND,29,73,31,42,2482.4,1041,364,767,47.5,161,358,45.0,152,184,82.6,146,715,861,172,114,58,34,226,2494,49,0,-46
81,Zach Randolph,LAC,27,50,19,31,1756.4,1041,415,873,47.5,32,97,33.0,179,244,73.4,157,347,504,103,114,43,16,133,1863,29,0,-145
82,Lou Williams,PHI,22,81,41,40,1919.3,1039,336,844,39.8,63,220,28.6,304,385,79.0,36,129,165,242,151,85,14,128,1746,0,0,-61
83,Travis Outlaw,POR,24,81,54,27,2246.0,1034,385,850,45.3,89,236,37.7,175,242,72.3,70,261,331,83,94,47,57,168,1774,2,0,160
84,Paul Millsap,UTA,24,76,44,32,2290.4,1028,400,749,53.4,0,4,0.0,228,326,69.9,251,403,654,138,129,78,73,288,2344,29,0,268
85,Allen Iverson,DET,34,57,25,32,2092.4,995,348,834,41.7,28,99,28.3,271,347,78.1,30,143,173,283,146,88,6,86,1763,2,0,-46
86,Leandro Barbosa,PHX,26,70,39,31,1705.3,993,366,759,48.2,90,240,37.5,171,194,88.1,34,147,181,162,93,82,7,115,1627,0,0,17
87,Grant Hill,PHX,36,82,46,36,2444.8,985,390,745,52.3,24,76,31.6,181,224,80.8,64,341,405,186,126,90,54,182,2056,5,0,184
88,Ramon Sessions,MIL,23,79,32,47,2172.6,977,345,775,44.5,6,34,17.6,281,354,79.4,64,205,269,452,152,83,7,158,2096,9,1,-25
89,Marc Gasol,MEM,24,82,24,58,2521.0,975,350,661,53.0,0,1,0.0,275,375,73.3,201,404,605,143,164,63,90,265,2211,17,0,-339
90,Flip Murray,ATL,29,80,46,34,1974.8,974,355,795,44.7,87,242,36.0,177,233,76.0,22,146,168,158,128,88,17,173,1600,0,0,203
91,Roger Mason Jr.,SAS,28,82,54,28,2496.1,969,349,822,42.5,166,394,42.1,105,118,89.0,16,235,251,173,100,40,12,160,1586,0,0,222
92,Baron Davis,LAC,30,65,17,48,2248.3,968,355,959,37.0,99,328,30.2,159,210,75.7,46,192,238,501,193,108,35,193,2241,13,0,-353
93,Rajon Rondo,BOS,23,80,62,18,2642.2,953,383,759,50.5,15,48,31.3,172,268,64.2,100,316,416,659,209,149,11,193,2712,15,2,511
94,Hakim Warrick,MEM,26,82,24,58,2029.4,951,340,693,49.1,5,23,21.7,266,374,71.1,129,277,406,66,98,48,39,170,1700,5,0,-170
95,Corey Maggette,GSW,29,51,18,33,1587.9,950,292,634,46.1,24,95,25.3,342,415,82.4,49,233,282,92,120,44,8,192,1462,4,0,-148
96,Josh Howard,DAL,29,52,33,19,1662.9,936,353,783,45.1,58,168,34.5,172,220,78.2,59,204,263,83,89,55,30,135,1542,6,0,210
