RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kevin Garnett,MIN,28,82,58,24,3235.1,1987,804,1611,49.9,11,43,25.6,368,465,79.1,245,894,1139,409,212,120,178,202,4649,71,2,614
2,Peja Stojakovic,SAC,27,81,55,26,3269.0,1964,665,1386,48.0,240,554,43.3,394,425,92.7,91,417,508,173,153,108,14,159,3046,9,0,428
3,Tracy McGrady,ORL,25,67,19,48,2687.2,1878,653,1566,41.7,174,513,33.9,398,500,79.6,95,307,402,370,179,93,42,129,3141,12,0,-313
4,Paul Pierce,BOS,26,80,35,45,3099.8,1836,602,1497,40.2,115,384,29.9,517,631,81.9,69,453,522,410,303,131,52,234,3323,19,1,-68
5,Michael Redd,MIL,24,82,41,41,3020.3,1776,633,1439,44.0,127,363,35.0,383,441,86.8,118,289,407,185,116,81,6,152,2687,2,0,-60
6,Carmelo Anthony,DEN,20,82,43,39,2991.2,1725,624,1465,42.6,69,214,32.2,408,525,77.7,183,315,498,227,247,97,41,225,2830,11,0,65
7,Dirk Nowitzki,DAL,26,77,49,28,2919.8,1680,605,1310,46.2,99,290,34.1,371,423,87.7,90,580,670,207,135,92,104,216,3248,31,0,408
8,LeBron James,CLE,19,79,33,46,3126.9,1654,622,1492,41.7,63,217,29.0,347,460,75.4,99,333,432,465,273,130,58,149,3161,12,0,-144
9,Vince Carter,TOR,27,73,33,40,2786.5,1645,608,1457,41.7,93,243,38.3,336,417,80.6,95,254,349,348,224,88,65,212,2821,7,0,-8
10,Stephon Marbury,NYK,27,81,37,44,3254.5,1639,598,1386,43.1,87,274,31.8,356,436,81.7,58,205,263,719,249,129,9,172,3198,26,0,-91
11,Zach Randolph,POR,22,81,41,40,3072.2,1626,663,1368,48.5,1,5,20.0,299,393,76.1,242,609,851,163,247,68,41,227,2972,43,0,-58
12,Sam Cassell,MIN,34,81,57,24,2848.0,1603,620,1270,48.8,74,186,39.8,289,331,87.3,44,227,271,592,220,102,18,247,2956,18,1,536
13,Jermaine O'Neal,IND,25,78,57,21,2789.0,1566,608,1400,43.4,2,18,11.1,348,460,75.7,193,585,778,164,181,59,199,248,3339,44,0,445
