RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
14,Kobe Bryant,LAL,25,65,48,17,2447.4,1557,516,1178,43.8,71,217,32.7,454,533,85.2,103,256,359,330,171,112,28,176,2732,10,1,309
15,Tim Duncan,SAS,28,69,51,18,2524.9,1538,592,1181,50.1,2,12,16.7,352,588,59.9,227,632,859,213,183,62,185,164,3446,56,0,545
16,Baron Davis,NOH,25,67,36,31,2687.0,1532,554,1402,39.5,187,582,32.1,237,352,67.3,66,221,287,501,215,158,27,178,2968,22,0,172
17,Richard Jefferson,NJN,24,82,47,35,3136.2,1515,555,1115,49.8,48,132,36.4,357,468,76.3,109,355,464,315,198,92,28,224,2706,9,0,303
18,Corey Maggette,LAC,24,73,25,48,2629.9,1508,453,1013,44.7,76,231,32.9,526,620,84.8,96,334,430,224,207,65,16,217,2396,5,0,-167
19,Mike Bibby,SAC,26,82,55,27,2982.4,1506,527,1170,45.0,148,378,39.2,304,373,81.5,67,210,277,444,175,112,18,146,2719,5,0,332
20,Shawn Marion,PHX,26,79,28,51,3209.9,1498,590,1341,44.0,90,265,34.0,228,268,85.1,212,525,737,214,156,167,104,203,3360,35,0,-234
21,Jason Richardson,GSW,23,78,35,43,2940.5,1461,563,1284,43.8,77,273,28.2,258,377,68.4,124,400,524,226,196,86,41,182,2614,11,0,0
22,Stephen Jackson,ATL,26,80,27,53,2943.2,1450,536,1261,42.5,145,427,34.0,233,297,78.5,97,273,370,244,223,142,20,216,2523,4,0,-236
23,Shaquille O'Neal,LAL,32,67,49,18,2465.4,1439,554,948,58.4,0,0,0.0,331,676,49.0,246,523,769,196,195,34,166,225,3061,43,0,440
24,Yao Ming,HOU,23,82,45,37,2701.4,1431,535,1025,52.2,0,2,0.0,361,446,80.9,197,538,735,122,204,22,156,273,2826,33,0,209
25,Rashard Lewis,SEA,24,80,37,43,2933.6,1421,535,1229,43.5,145,386,37.6,206,270,76.3,133,385,518,175,135,99,54,233,2629,6,0,-4
26,Eddie Jones,MIA,32,81,42,39,3001.0,1401,473,1156,40.9,177,479,37.0,278,333,83.5,38,270,308,258,129,92,34,226,2407,1,0,85
27,Shareef Abdur-Rahim,POR,27,85,35,50,2690.3,1384,501,1054,47.5,9,34,26.5,373,429,86.9,189,450,639,174,184,68,37,222,2543,28,0,-117
28,Jamal Crawford,CHI,24,80,23,57,2813.7,1383,509,1318,38.6,165,521,31.7,200,240,83.3,46,237,283,405,193,111,29,161,2557,2,0,-324
29,Pau Gasol,MEM,23,78,49,29,2451.6,1381,506,1049,48.2,4,15,26.7,365,511,71.4,206,394,600,198,187,44,132,185,2739,24,0,113
30,Elton Brand,LAC,25,69,22,47,2675.2,1379,484,982,49.3,0,1,0.0,411,532,77.3,269,445,714,227,193,64,154,229,3037,40,0,-222
31,Juwan Howard,ORL,31,81,21,60,2883.8,1376,529,1169,45.3,0,1,0.0,318,393,80.9,171,399,570,158,178,54,22,284,2347,16,0,-353
32,Latrell Sprewell,MIN,33,82,58,24,3100.7,1375,518,1266,40.9,99,299,33.1,240,295,81.4,56,254,310,286,158,88,21,101,2345,0,0,408
33,Richard Hamilton,DET,26,78,50,28,2784.8,1375,530,1166,45.5,18,68,26.5,297,342,86.8,78,201,279,310,210,103,17,222,2325,2,0,394
34,Lamar Odom,MIA,24,80,41,39,3002.0,1371,485,1127,43.0,61,205,29.8,340,458,74.2,160,616,776,327,236,85,71,273,3025,37,1,60
35,Joe Johnson,PHX,23,82,29,53,3333.9,1367,555,1291,43.0,83,272,30.5,174,232,75.0,80,305,385,362,199,93,26,177,2530,4,0,-234
36,Jason Terry,ATL,26,81,27,54,3013.2,1359,499,1196,41.7,146,421,34.7,215,260,82.7,49,287,336,437,229,124,16,192,2609,5,0,-223
37,Michael Finley,DAL,31,72,49,23,2782.2,1342,514,1159,44.3,150,370,40.5,164,193,85.0,78,247,325,212,83,84,39,118,2336,3,0,264
38,Metta World Peace,IND,24,73,54,19,2715.4,1333,468,1112,42.1,75,242,31.0,322,439,73.3,100,285,385,272,202,152,50,194,2607,4,0,485
39,Chauncey Billups,DET,27,78,51,27,2772.3,1318,392,996,39.4,130,335,38.8,404,460,87.8,35,241,276,446,189,84,8,177,2405,5,1,413
40,Steve Francis,HOU,27,79,44,35,3196.4,1310,450,1117,40.3,73,250,29.2,337,435,77.5,116,317,433,493,294,139,35,257,2797,11,0,196
41,Ray Allen,SEA,28,56,25,31,2156.7,1287,447,1017,44.0,148,378,39.2,245,271,90.4,69,217,286,268,156,71,11,132,2122,6,1,89
42,Andrei Kirilenko,UTA,23,78,42,36,2905.9,1284,412,931,44.3,68,201,33.8,392,496,79.0,226,403,629,244,215,148,215,174,3279,25,0,86
43,Allen Iverson,PHI,29,48,19,29,2046.8,1266,435,1125,38.7,57,199,28.6,339,455,74.5,34,144,178,324,209,115,5,87,2117,8,0,-91
44,Cuttino Mobley,HOU,28,80,44,36,3235.8,1260,460,1081,42.6,164,420,39.0,176,217,81.1,40,322,362,258,180,107,33,179,2321,1,0,114
45,Zydrunas Ilgauskas,CLE,29,81,34,47,2543.2,1237,466,965,48.3,2,7,28.6,303,406,74.6,279,374,653,109,163,39,201,277,2741,22,0,-173
46,Andre Miller,DEN,28,82,43,39,2847.3,1214,430,941,45.7,12,65,18.5,342,411,83.2,127,239,366,501,215,142,25,194,2691,11,1,163
47,Antawn Jamison,DAL,28,82,52,30,2378.9,1212,488,913,53.5,16,40,40.0,220,294,74.8,233,287,520,70,81,83,30,174,2199,9,0,277
48,Donyell Marshall,TOR,31,82,29,53,2982.1,1205,470,1020,46.1,131,325,40.3,134,182,73.6,210,598,808,122,117,93,124,247,2892,38,0,-130
49,Gary Payton,LAL,35,82,56,26,2836.0,1199,482,1024,47.1,55,165,33.3,180,252,71.4,72,270,342,449,151,96,19,169,2477,6,1,329
50,Desmond Mason,MIL,26,82,41,41,2534.4,1183,409,867,47.2,9,39,23.1,356,463,76.9,93,266,359,152,148,60,24,191,1946,5,0,168
51,Carlos Boozer,CLE,22,75,34,41,2597.6,1162,471,900,52.3,1,6,16.7,219,285,76.8,230,627,857,148,134,74,55,199,2665,41,0,33
52,Keith Van Horn,MIL,28,72,33,39,2342.0,1162,410,903,45.4,93,233,39.9,249,290,85.9,149,352,501,120,169,68,33,215,2077,15,0,8
53,Antoine Walker,DAL,27,82,52,30,2837.1,1151,483,1129,42.8,82,305,26.9,103,186,55.4,198,486,684,369,202,65,65,212,2713,27,2,134
54,Larry Hughes,WAS,25,61,19,42,2067.4,1148,401,1009,39.7,79,232,34.1,267,335,79.7,96,230,326,148,152,95,26,147,1972,3,0,-195
55,Ricky Davis,BOS,24,79,30,49,2474.3,1140,446,950,46.9,52,140,37.1,196,273,71.8,77,281,358,259,189,96,22,171,2123,1,0,-211
56,Amar'e Stoudemire,PHX,21,55,22,33,2025.0,1133,411,865,47.5,1,5,20.0,310,435,71.3,157,339,496,78,177,64,89,188,2127,19,0,-127
57,Steve Nash,DAL,30,78,50,28,2615.4,1128,397,845,47.0,104,257,40.5,230,251,91.6,59,173,232,687,209,67,8,139,2453,28,1,245
58,James Posey,MEM,27,82,50,32,2442.7,1126,368,770,47.8,112,290,38.6,278,335,83.0,92,311,403,122,112,137,40,248,2212,5,0,151
59,Quentin Richardson,LAC,24,65,26,39,2339.7,1121,425,1068,39.8,120,341,35.2,151,204,74.0,146,268,414,139,141,67,19,130,1943,11,0,-168
60,Jamaal Magloire,NOH,26,82,41,41,2794.2,1119,383,809,47.3,0,1,0.0,353,470,75.1,268,579,847,86,201,43,101,278,2495,45,0,-44
61,Damon Stoudamire,POR,30,82,41,41,3122.8,1099,408,1018,40.1,156,427,36.5,127,145,87.6,52,256,308,500,180,99,9,173,2363,7,0,-118
62,Tony Parker,SAS,22,75,54,21,2579.0,1099,423,946,44.7,62,199,31.2,191,272,70.2,43,194,237,411,179,61,7,148,2025,7,0,395
63,Rasheed Wallace,DET,29,68,40,28,2393.5,1088,425,974,43.6,82,248,33.1,156,212,73.6,102,357,459,156,119,61,122,190,2303,10,0,189
64,Kenyon Martin,NJN,26,65,41,24,2258.7,1086,439,900,48.8,7,25,28.0,201,294,68.4,133,484,617,160,168,95,82,230,2429,27,0,197
65,Gilbert Arenas,WAS,22,55,17,38,2066.5,1078,358,914,39.2,125,333,37.5,237,317,74.8,55,199,254,275,226,103,12,176,1914,7,3,-197
66,Kerry Kittles,NJN,30,82,47,35,2847.4,1072,434,959,45.3,97,276,35.1,107,136,78.7,56,271,327,206,95,125,40,144,2173,0,0,238
67,Eddy Curry,CHI,21,73,20,53,2158.3,1070,417,840,49.6,1,1,100,235,350,67.1,143,308,451,68,177,24,83,258,1857,10,0,-296
68,Al Harrington,IND,24,79,58,21,2440.9,1048,421,909,46.3,21,77,27.3,185,252,73.4,163,345,508,131,163,80,22,250,1997,12,0,71
69,Voshon Lenard,DEN,31,73,38,35,2244.4,1038,394,933,42.2,106,289,36.7,144,182,79.1,46,154,200,151,101,61,12,177,1623,0,0,53
70,Jason Kidd,NJN,31,67,41,26,2464.0,1036,368,959,38.4,94,293,32.1,206,249,82.7,85,343,428,618,214,122,14,110,2671,34,9,362
71,Jim Jackson,HOU,33,80,43,37,3119.6,1033,382,900,42.4,162,405,40.0,107,127,84.3,52,435,487,226,175,86,23,227,2108,5,0,148
72,Jalen Rose,TOR,31,66,26,40,2511.9,1022,383,952,40.2,69,202,34.2,187,231,81.0,34,232,266,329,208,51,22,184,1846,2,0,-123
73,Brad Miller,SAC,28,72,49,23,2626.6,1014,373,731,51.0,12,38,31.6,256,329,77.8,191,552,743,312,144,68,86,247,2692,32,2,499
74,Flip Murray,SEA,24,82,37,45,2025.1,1013,389,915,42.5,67,229,29.3,168,235,71.5,45,159,204,205,149,81,28,158,1743,2,0,-143
75,Kenny Thomas,PHI,26,74,31,43,2704.0,1006,381,813,46.9,1,5,20.0,243,323,75.2,261,489,750,111,172,82,33,219,2246,34,0,-155
76,Dwyane Wade,MIA,22,61,34,27,2135.8,991,371,798,46.5,16,53,30.2,233,312,74.7,85,162,247,275,196,86,34,140,1864,1,0,89
77,Manu Ginobili,SAS,26,77,53,24,2254.7,987,330,789,41.8,88,245,35.9,239,298,80.2,86,258,344,291,161,136,16,181,2131,3,0,406
78,Tim Thomas,NYK,27,66,35,31,2089.1,970,363,813,44.6,73,194,37.6,171,218,78.4,64,256,320,124,116,64,20,196,1676,3,0,28
79,Clifford Robinson,GSW,37,82,37,45,2841.8,967,366,945,38.7,112,314,35.7,123,173,71.1,54,268,322,271,173,68,73,237,2010,3,0,-83
80,Vladimir Radmanovic,SEA,23,77,35,42,2322.5,925,345,812,42.5,140,377,37.1,95,127,74.8,104,302,406,142,109,80,42,187,1882,6,0,12
81,Allan Houston,NYK,33,50,24,26,1794.2,924,340,781,43.5,87,202,43.1,157,172,91.3,20,101,121,99,102,38,2,105,1236,0,0,-30
82,Kirk Hinrich,CHI,23,76,20,56,2709.3,915,318,823,38.6,144,369,39.0,135,168,80.4,42,217,259,517,204,101,21,276,2163,14,1,-253
83,Raja Bell,UTA,27,82,42,40,2020.9,915,329,805,40.9,62,166,37.3,195,248,78.6,60,181,241,107,111,63,13,262,1482,0,0,-67
84,Drew Gooden,ORL,22,79,20,59,2137.4,914,369,829,44.5,9,42,21.4,167,262,63.7,160,356,516,89,126,62,72,196,1943,18,0,-484
85,Erick Dampier,GSW,28,74,33,41,2408.0,913,348,650,53.5,0,2,0.0,217,332,65.4,344,543,887,60,131,33,137,227,2446,42,0,-49
86,DeShawn Stevenson,ORL,23,80,33,47,2444.4,909,376,871,43.2,19,71,26.8,138,204,67.6,79,219,298,158,120,52,17,140,1591,1,0,-229
87,Nene,DEN,21,77,40,37,2511.2,908,334,630,53.0,0,2,0.0,240,352,68.2,154,349,503,168,183,116,41,280,2052,12,0,280
88,Carlos Arroyo,UTA,24,71,35,36,2002.5,897,339,768,44.1,38,117,32.5,181,225,80.4,41,144,185,355,156,63,5,165,1700,4,0,-19
89,Kurt Thomas,NYK,31,80,38,42,2542.4,890,392,829,47.3,0,3,0.0,106,127,83.5,145,517,662,149,132,56,80,298,2184,23,0,-34
90,Bonzi Wells,MEM,27,72,45,27,1871.9,886,363,850,42.7,22,69,31.9,138,183,75.4,78,182,260,139,161,91,19,197,1576,0,0,19
91,Mike Dunleavy,GSW,23,75,35,40,2340.8,877,323,720,44.9,94,254,37.0,137,185,74.1,87,355,442,220,143,68,13,169,1837,10,0,-159
92,Maurice Taylor,HOU,27,75,41,34,2081.1,862,367,765,48.0,0,2,0.0,128,174,73.6,131,253,384,107,149,43,47,253,1604,3,0,-46
93,Chris Bosh,TOR,20,75,29,46,2516.5,861,327,712,45.9,5,14,35.7,202,288,70.1,191,366,557,78,107,59,106,215,2034,13,0,-162
94,Darius Miles,POR,22,79,35,44,2080.2,861,365,753,48.5,7,40,17.5,124,193,64.2,112,247,359,162,130,67,61,168,1789,3,0,-125
95,David Wesley,NOH,33,61,31,30,2006.3,851,311,800,38.9,92,285,32.3,137,182,75.3,28,106,134,175,100,71,14,147,1429,0,0,-42
96,Eric Snow,PHI,31,82,33,49,2976.2,844,295,715,41.3,2,18,11.1,252,316,79.7,62,219,281,563,187,97,6,213,2148,10,0,-117
97,Mark Blount,BOS,28,82,36,46,2405.1,843,342,604,56.6,0,0,0.0,159,221,71.9,207,382,589,75,150,80,106,253,2070,19,0,-38
98,Tayshaun Prince,DET,24,82,54,28,2696.7,841,338,723,46.7,57,157,36.3,108,141,76.6,93,297,390,191,119,63,69,149,1873,2,0,364
99,Darrell Armstrong,NOH,36,79,39,40,2244.6,840,291,736,39.5,135,429,31.5,123,144,85.4,63,163,226,311,155,133,16,148,1870,2,0,104
100,Earl Boykins,DEN,28,82,43,39,1838.3,839,321,766,41.9,55,171,32.2,142,162,87.7,42,101,143,295,100,51,3,84,1515,1,0,8
101,Rafer Alston,MIA,27,82,42,40,2584.8,838,287,764,37.6,161,434,37.1,103,134,76.9,26,200,226,372,128,114,18,212,1935,1,0,67
102,P.J. Brown,NOH,34,80,40,40,2757.2,836,339,712,47.6,0,1,0.0,158,185,85.4,237,453,690,155,101,78,73,203,2249,24,0,79
103,Doug Christie,SAC,34,82,55,27,2782.9,831,317,688,46.1,49,142,34.5,148,172,86.0,69,260,329,347,155,151,41,186,2167,3,0,372
104,Joe Smith,MIL,28,76,38,38,2258.6,830,311,708,43.9,1,5,20.0,207,241,85.9,230,413,643,78,82,47,94,209,2060,20,0,52
105,Jeff McInnis,CLE,29,70,37,33,2377.4,828,334,747,44.7,46,127,36.2,114,143,79.7,33,143,176,430,120,72,6,163,1798,7,0,4
106,Gordan Giricek,UTA,27,73,30,43,2041.5,827,316,724,43.6,60,152,39.5,135,158,85.4,51,175,226,122,103,56,15,144,1391,1,0,-78
107,Kwame Brown,WAS,22,74,24,50,2230.1,805,288,589,48.9,1,2,50.0,228,334,68.3,178,372,550,112,140,66,52,144,1847,18,0,-187
108,Reggie Miller,IND,38,80,59,21,2267.3,800,260,594,43.8,134,334,40.1,146,165,88.5,18,170,188,249,68,65,11,96,1559,0,0,504
109,Vlade Divac,SAC,36,81,54,27,2313.2,800,314,668,47.0,2,13,15.4,170,260,65.4,136,327,463,432,173,57,77,222,2233,8,1,350
110,Tyronn Lue,ORL,27,76,17,59,2336.1,799,309,714,43.3,80,209,38.3,101,131,77.1,26,161,187,317,124,61,5,185,1573,2,0,-418
111,Jason Williams,MEM,28,72,42,30,2111.2,782,290,713,40.7,120,364,33.0,82,98,83.7,25,122,147,492,136,92,5,97,1851,14,0,-2
112,Ben Wallace,DET,29,81,54,27,3059.3,773,315,748,42.1,1,8,12.5,142,290,49.0,324,682,1006,138,123,143,246,162,3231,34,0,440
113,Mike James,DET,29,81,43,38,2196.6,753,272,657,41.4,106,281,37.7,103,127,81.1,28,206,234,339,124,96,3,156,1715,0,0,36
114,Corliss Williamson,DET,30,79,52,27,1574.2,752,304,602,50.5,0,0,0.0,144,197,73.1,88,168,256,57,113,30,20,204,1182,1,0,181
115,Jiri Welsch,BOS,24,81,35,46,2185.3,746,262,612,42.8,69,181,38.1,153,206,74.3,60,236,296,183,129,101,7,176,1571,1,0,-104
116,Hedo Turkoglu,SAS,25,80,56,24,2080.0,739,262,645,40.6,101,241,41.9,114,161,70.8,52,306,358,154,94,80,32,165,1642,2,0,466
117,Brian Cardinal,GSW,27,76,32,44,1631.4,733,220,466,47.2,55,124,44.4,238,271,87.8,100,217,317,103,84,66,20,206,1442,4,0,141
118,Stromile Swift,MEM,24,77,48,29,1530.0,727,268,571,46.9,1,4,25.0,190,262,72.5,141,237,378,38,88,56,118,188,1672,6,0,82
119,Mike Miller,MEM,24,65,39,26,1764.5,722,270,616,43.8,80,215,37.2,102,141,72.3,42,174,216,232,107,59,14,162,1441,3,0,111
120,Eric Williams,CLE,31,71,38,33,1881.3,712,231,598,38.6,35,127,27.6,215,283,76.0,65,221,286,120,88,70,9,180,1384,2,0,89
121,Rasho Nesterovic,SAS,28,82,57,25,2359.4,710,328,700,46.9,0,0,0.0,54,114,47.4,257,376,633,114,107,51,165,247,2182,15,0,278
122,Antonio Davis,CHI,35,80,27,53,2578.6,708,266,660,40.3,0,0,0.0,176,230,76.5,207,464,671,137,114,37,65,206,1911,17,0,-309
123,Etan Thomas,WAS,26,79,25,54,1899.8,705,257,526,48.9,0,0,0.0,191,295,64.7,183,345,528,68,113,36,123,219,1805,12,0,-303
124,Anfernee Hardaway,NYK,32,76,33,43,2095.3,699,279,679,41.1,30,79,38.0,111,138,80.4,69,218,287,176,107,70,20,146,1470,1,0,-79
125,Glenn Robinson,PHI,31,42,13,29,1344.8,698,275,614,44.8,34,100,34.0,114,137,83.2,46,143,189,57,106,42,9,96,1057,2,0,-117
126,Derek Anderson,POR,29,51,26,25,1812.8,694,230,612,37.6,79,259,30.5,155,188,82.4,26,156,182,228,90,66,3,79,1371,0,0,80
127,Aaron McKie,PHI,31,75,30,45,2116.9,689,265,577,45.9,75,172,43.6,84,111,75.7,45,208,253,195,103,85,23,142,1506,0,0,-42
128,Bobby Jackson,SAC,31,50,35,15,1189.1,689,263,592,44.4,81,219,37.0,82,109,75.2,55,119,174,105,63,49,8,106,1163,1,0,120
129,Mehmet Okur,DET,25,71,48,23,1588.0,682,251,542,46.3,18,48,37.5,162,209,77.5,160,261,421,69,101,36,63,138,1487,6,0,258
130,Morris Peterson,TOR,26,82,33,49,2139.4,678,238,587,40.5,126,340,37.1,76,94,80.9,35,226,261,113,69,88,14,206,1398,0,0,-54
131,Jarvis Hayes,WAS,22,70,23,47,2044.0,673,278,695,40.0,40,131,30.5,77,98,78.6,71,193,264,106,110,71,11,157,1285,2,0,-296
132,Theo Ratliff,POR,31,85,35,50,2661.7,672,266,549,48.5,0,0,0.0,140,217,64.5,195,419,614,71,120,54,307,300,2478,8,0,-51
133,Shane Battier,MEM,25,79,48,31,1948.1,669,242,543,44.6,65,186,34.9,120,164,73.2,102,201,303,101,56,101,58,187,1605,4,0,170
134,Brian Grant,MIA,32,76,40,36,2302.2,664,289,613,47.1,0,1,0.0,86,110,78.2,174,350,524,69,82,51,35,254,1572,10,0,32
135,Juan Dixon,WAS,25,71,20,51,1474.9,664,247,637,38.8,59,198,29.8,111,139,79.9,30,118,148,137,104,82,4,111,1201,0,0,-205
136,Samuel Dalembert,PHI,24,82,33,49,2203.5,652,270,499,54.1,0,1,0.0,112,174,64.4,194,432,626,21,86,44,189,273,2048,15,0,-48
137,Brent Barry,SEA,32,59,30,29,1802.5,635,215,427,50.4,114,252,45.2,91,110,82.7,21,183,204,342,139,85,16,121,1557,6,0,41
138,Shandon Anderson,NYK,30,80,38,42,1966.2,635,238,564,42.2,36,128,28.1,123,161,76.4,53,169,222,122,118,68,17,182,1221,0,0,-200
139,Speedy Claxton,GSW,26,60,27,33,1594.5,634,224,524,42.7,4,22,18.2,182,224,81.3,38,118,156,267,102,97,9,146,1438,2,0,111
140,Caron Butler,MIA,24,68,39,29,2025.7,623,240,631,38.0,10,42,23.8,133,176,75.6,92,234,326,126,91,75,13,162,1376,5,0,85
141,Marcus Camby,DEN,30,72,36,36,2164.4,622,262,549,47.7,0,2,0.0,98,136,72.1,211,516,727,132,98,86,187,239,2413,19,0,71
142,Dion Glover,TOR,25,69,23,46,1642.4,620,230,589,39.0,40,119,33.6,120,156,76.9,58,208,266,130,102,50,19,123,1239,0,0,-118
143,Toni Kukoc,MIL,35,73,37,36,1514.7,616,211,506,41.7,49,168,29.2,145,199,72.9,60,211,271,200,110,59,21,110,1371,2,0,50
144,Lorenzen Wright,MEM,28,65,38,27,1677.2,610,257,586,43.9,0,5,0.0,96,131,73.3,144,301,445,71,77,45,58,192,1483,10,0,9
145,Walter McCarty,BOS,30,77,33,44,1898.6,605,203,523,38.8,137,366,37.4,62,82,75.6,28,211,239,124,91,72,22,179,1269,1,0,-82
146,Devean George,LAL,26,82,56,26,1952.8,604,233,571,40.8,65,186,34.9,73,96,76.0,87,245,332,112,88,81,38,189,1439,3,0,166
147,Calbert Cheaney,GSW,32,79,37,42,2061.8,603,278,578,48.1,0,10,0.0,47,77,61.0,77,183,260,136,85,60,12,184,1250,2,0,7
148,Bob Sura,ATL,31,80,42,38,1657.3,596,202,485,41.6,21,79,26.6,171,226,75.7,100,226,326,233,105,62,14,158,1460,12,2,-7
149,Nazr Mohammed,NYK,26,80,31,49,1610.7,592,246,472,52.1,0,0,0.0,100,169,59.2,178,296,474,36,96,55,52,195,1440,6,0,-199
150,Brian Skinner,MIL,28,56,29,27,1580.0,589,255,513,49.7,0,0,0.0,79,138,57.2,119,292,411,49,78,30,61,165,1351,11,0,-50
151,Derek Fisher,LAL,29,82,56,26,1759.4,580,203,576,35.2,52,179,29.1,122,153,79.7,30,122,152,187,79,103,4,115,1285,0,0,105
152,Josh Howard,DAL,24,67,40,27,1586.4,575,229,532,43.0,20,66,30.3,97,138,70.3,149,219,368,97,67,69,54,168,1464,4,0,215
153,Damon Jones,MIL,27,82,41,41,2009.2,573,210,524,40.1,98,273,35.9,55,72,76.4,15,155,170,478,103,30,4,92,1493,8,0,13
154,Raul Lopez,UTA,24,82,42,40,1622.2,572,223,517,43.1,25,85,29.4,101,117,86.3,24,131,155,305,174,62,2,200,1234,1,0,-45
155,Antonio Daniels,SEA,29,71,29,42,1515.8,571,187,398,47.0,42,116,36.2,155,184,84.2,23,119,142,298,61,45,6,64,1280,6,0,43
156,Chris Crawford,ATL,29,56,18,38,1209.4,569,211,471,44.8,44,113,38.9,103,119,86.6,58,117,175,45,55,37,20,131,963,0,0,-100
157,Bruce Bowen,SAS,33,82,57,25,2627.2,565,211,502,42.0,77,212,36.3,66,114,57.9,45,208,253,113,90,84,33,166,1299,0,0,394
158,Slava Medvedenko,LAL,25,68,46,22,1448.9,563,237,537,44.1,0,3,0.0,89,116,76.7,148,195,343,57,59,38,18,191,1169,6,0,-38
159,Chris Wilcox,LAC,21,65,25,40,1339.7,559,227,436,52.1,0,1,0.0,105,150,70.0,125,180,305,51,80,29,20,183,1069,3,0,-100
160,Karl Malone,LAL,40,42,33,9,1379.6,554,193,400,48.3,0,1,0.0,168,225,74.7,61,306,367,163,103,50,20,116,1346,15,1,216
161,Leandro Barbosa,PHX,21,70,25,45,1500.6,550,210,470,44.7,83,210,39.5,47,61,77.0,23,100,123,165,120,93,7,184,1125,0,0,-110
162,Udonis Haslem,MIA,24,75,39,36,1796.5,550,205,447,45.9,0,3,0.0,140,183,76.5,189,284,473,51,74,33,24,197,1291,11,0,-17
163,Rodney White,DEN,24,72,38,34,987.1,541,215,468,45.9,33,87,37.9,78,104,75.0,44,121,165,60,78,32,20,105,907,0,0,40
164,Kendall Gill,CHI,36,56,15,41,1408.8,539,215,548,39.2,9,38,23.7,100,136,73.5,61,129,190,89,83,65,16,107,1061,1,0,-258
165,Rodney Rogers,NJN,33,69,40,29,1413.9,539,207,505,41.0,50,152,32.9,75,98,76.5,100,207,307,137,98,59,27,183,1273,5,0,64
166,Chucky Atkins,BOS,29,64,37,27,1539.0,538,192,484,39.7,81,241,33.6,73,97,75.3,9,84,93,223,92,45,2,102,1033,1,0,75
167,Brendan Haywood,WAS,24,77,24,53,1493.2,537,200,388,51.5,0,1,0.0,137,234,58.5,186,201,387,43,80,32,100,154,1382,3,0,-75
168,Vin Baker,NYK,32,54,26,28,1321.2,531,208,432,48.1,1,3,33.3,114,157,72.6,112,168,280,66,77,29,32,160,1072,5,0,-77
169,Fred Hoiberg,MIN,31,79,57,22,1795.7,530,178,383,46.5,76,172,44.2,98,116,84.5,21,247,268,109,44,66,10,136,1199,0,0,132
170,Greg Ostertag,UTA,31,78,39,39,2153.2,529,208,437,47.6,0,1,0.0,113,195,57.9,221,357,578,123,99,30,139,228,1815,11,0,13
171,Malik Rose,SAS,29,67,44,23,1253.6,529,173,404,42.8,0,3,0.0,183,225,81.3,110,210,320,69,112,36,24,164,1085,6,0,105
172,Ruben Patterson,POR,28,73,35,38,1651.8,507,200,395,50.6,2,12,16.7,105,190,55.3,129,139,268,139,105,84,21,152,1247,1,0,-84
173,Matt Harpring,UTA,28,31,17,14,1130.9,502,193,410,47.1,8,33,24.2,108,157,68.8,91,156,247,63,65,22,2,102,900,6,0,17
