RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kobe Bryant,LAL,27,80,45,35,3277.1,2832,978,2173,45.0,180,518,34.7,696,819,85.0,71,354,425,360,250,147,30,233,4163,4,0,318
2,LeBron James,CLE,21,79,47,32,3360.6,2478,875,1823,48.0,127,379,33.5,601,814,73.8,75,481,556,521,260,123,66,181,4234,21,5,275
3,Allen Iverson,PHI,31,72,35,37,3103.2,2377,815,1822,44.7,72,223,32.3,675,829,81.4,44,188,232,532,248,140,10,121,3655,18,0,-6
4,Gilbert Arenas,WAS,24,80,40,40,3384.3,2346,746,1668,44.7,199,540,36.9,655,799,82.0,59,221,280,484,297,161,25,286,3669,9,0,207
5,Dirk Nowitzki,DAL,28,81,60,21,3089.0,2151,751,1564,48.0,110,271,40.6,539,598,90.1,115,613,728,226,156,58,83,164,3631,35,0,509
6,Carmelo Anthony,DEN,22,80,44,36,2940.8,2122,756,1572,48.1,37,152,24.3,573,709,80.8,122,272,394,216,218,88,42,229,3091,6,0,4
7,Paul Pierce,BOS,28,79,32,47,3084.5,2116,689,1462,47.1,111,314,35.4,627,812,77.2,77,453,530,375,273,107,34,223,3465,17,1,-58
8,Dwyane Wade,MIA,24,75,48,27,2892.4,2040,699,1413,49.5,13,76,17.1,629,803,78.3,107,323,430,503,268,146,58,217,3655,16,2,485
9,Michael Redd,MIL,26,80,39,41,3129.9,2028,682,1516,45.0,163,413,39.5,501,571,87.7,78,264,342,229,170,95,5,157,2912,0,0,83
10,Ray Allen,SEA,30,78,35,43,3022.2,1955,681,1500,45.4,269,653,41.2,324,359,90.3,71,261,332,286,188,105,16,151,2957,1,0,-51
11,Elton Brand,LAC,27,79,44,35,3098.8,1953,756,1435,52.7,1,3,33.3,440,568,77.5,236,554,790,208,173,81,201,227,3886,45,0,185
12,Vince Carter,NJN,29,79,49,30,2905.8,1911,653,1518,43.0,125,367,34.1,480,601,79.9,135,327,462,338,213,94,53,235,3200,8,1,330
13,Shawn Marion,PHX,28,81,53,28,3263.2,1769,716,1365,52.5,96,290,33.1,241,298,80.9,249,710,959,143,125,160,137,223,3900,60,0,412
14,Jason Richardson,GSW,25,75,32,43,2876.8,1741,641,1438,44.6,183,477,38.4,276,410,67.3,105,333,438,232,167,97,37,206,2850,5,0,41
15,Mike Bibby,SAC,28,82,44,38,3166.8,1728,597,1382,43.2,192,497,38.6,342,403,84.9,29,211,240,444,199,82,10,169,2759,8,0,141
16,Antawn Jamison,WAS,30,82,42,40,3288.3,1684,660,1494,44.2,147,373,39.4,217,297,73.1,167,598,765,158,137,90,12,189,3008,35,0,245
17,Kevin Garnett,MIN,30,76,31,45,2957.4,1656,626,1191,52.6,8,30,26.7,396,489,81.0,214,752,966,308,180,104,107,206,3730,62,0,40
18,Joe Johnson,ATL,25,82,26,56,3339.7,1653,632,1395,45.3,128,360,35.6,261,330,79.1,98,237,335,536,267,103,31,187,2994,13,1,-374
19,Pau Gasol,MEM,25,80,47,33,3135.1,1628,600,1194,50.3,3,12,25.0,425,617,68.9,191,522,713,371,235,46,153,184,3402,33,1,301
20,Richard Hamilton,DET,28,80,64,16,2824.8,1609,649,1322,49.1,55,120,45.8,256,303,84.5,84,172,256,275,173,52,16,207,2360,0,0,519
21,Mike James,TOR,31,79,25,54,2924.6,1604,576,1228,46.9,169,382,44.2,283,338,83.7,45,217,262,460,206,72,3,214,2627,11,0,-136
22,Chris Bosh,TOR,22,70,26,44,2751.0,1572,549,1087,50.5,0,13,0.0,474,581,81.6,204,443,647,181,157,50,79,209,2850,32,0,-56
23,Rashard Lewis,SEA,26,78,33,45,2875.8,1568,538,1151,46.7,142,370,38.4,350,428,81.8,111,279,390,182,141,102,50,191,2624,5,0,-200
24,Richard Jefferson,NJN,26,78,49,29,3058.8,1521,495,1005,49.3,60,188,31.9,471,580,81.2,95,439,534,297,174,59,17,193,2661,20,0,241
25,Chris Webber,PHI,33,75,33,42,2892.5,1518,617,1422,43.4,21,77,27.3,263,348,75.6,184,557,741,256,182,103,62,219,3104,38,0,-130
26,Ricky Davis,MIN,26,78,29,49,3206.9,1516,584,1304,44.8,73,242,30.2,275,345,79.7,65,286,351,394,213,91,17,190,2639,3,0,-67
27,Tony Parker,SAS,24,80,61,19,2714.7,1510,623,1136,54.8,11,36,30.6,253,358,70.7,38,223,261,460,249,83,4,161,2525,8,0,511
28,Chauncey Billups,DET,29,81,64,17,2924.6,1495,423,1012,41.8,184,425,43.3,465,520,89.4,41,211,252,699,170,71,8,160,2913,27,0,588
